date,name,isHoliday,holidayCategory,description
2008-01-01,中華民國開國紀念日,True,紀念日及節日,
2008-01-05,,True,星期六、星期日,
2008-01-06,,True,星期六、星期日,
2008-01-12,,True,星期六、星期日,
2008-01-13,,True,星期六、星期日,
2008-01-19,,True,星期六、星期日,
2008-01-20,,True,星期六、星期日,
2008-01-26,,True,星期六、星期日,
2008-01-27,,True,星期六、星期日,
2008-02-02,,True,星期六、星期日,
2008-02-03,,True,星期六、星期日,
2008-02-06,春節,True,紀念日及節日,
2008-02-07,春節,True,紀念日及節日,
2008-02-08,春節,True,紀念日及節日,
2008-02-09,春節,True,紀念日及節日,
2008-02-09,,True,星期六、星期日,
2008-02-10,,True,星期六、星期日,
2008-02-11,,True,補假,
2008-02-16,,True,星期六、星期日,
2008-02-17,,True,星期六、星期日,
2008-02-23,,True,星期六、星期日,
2008-02-24,,True,星期六、星期日,
2008-02-28,和平紀念日,True,放假之紀念日及節日,
2008-03-01,,True,星期六、星期日,
2008-03-02,,True,星期六、星期日,
2008-03-08,,True,星期六、星期日,
2008-03-09,,True,星期六、星期日,
2008-03-15,,True,星期六、星期日,
2008-03-16,,True,星期六、星期日,
2008-03-22,,True,星期六、星期日,
2008-03-23,,True,星期六、星期日,
2008-03-29,,True,星期六、星期日,
2008-03-30,,True,星期六、星期日,
2008-04-04,清明節、兒童節,True,放假之紀念日及節日,
2008-04-05,,True,星期六、星期日,
2008-04-06,,True,星期六、星期日,
2008-04-12,,True,星期六、星期日,
2008-04-13,,True,星期六、星期日,
2008-04-19,,True,星期六、星期日,
2008-04-20,,True,星期六、星期日,
2008-04-26,,True,星期六、星期日,
2008-04-27,,True,星期六、星期日,
2008-05-03,,True,星期六、星期日,
2008-05-04,,True,星期六、星期日,
2008-05-10,,True,星期六、星期日,
2008-05-11,,True,星期六、星期日,
2008-05-17,,True,星期六、星期日,
2008-05-18,,True,星期六、星期日,
2008-05-24,,True,星期六、星期日,
2008-05-25,,True,星期六、星期日,
2008-05-31,,True,星期六、星期日,
2008-06-01,,True,星期六、星期日,
2008-06-07,,True,星期六、星期日,
2008-06-08,端午節,True,放假之紀念日及節日,
2008-06-14,,True,星期六、星期日,
2008-06-15,,True,星期六、星期日,
2008-06-21,,True,星期六、星期日,
2008-06-22,,True,星期六、星期日,
2008-06-28,,True,星期六、星期日,
2008-06-29,,True,星期六、星期日,
2008-07-05,,True,星期六、星期日,
2008-07-06,,True,星期六、星期日,
2008-07-12,,True,星期六、星期日,
2008-07-13,,True,星期六、星期日,
2008-07-19,,True,星期六、星期日,
2008-07-20,,True,星期六、星期日,
2008-07-26,,True,星期六、星期日,
2008-07-27,,True,星期六、星期日,
2008-08-02,,True,星期六、星期日,
2008-08-03,,True,星期六、星期日,
2008-08-09,,True,星期六、星期日,
2008-08-10,,True,星期六、星期日,
2008-08-16,,True,星期六、星期日,
2008-08-17,,True,星期六、星期日,
2008-08-23,,True,星期六、星期日,
2008-08-24,,True,星期六、星期日,
2008-08-30,,True,星期六、星期日,
2008-08-31,,True,星期六、星期日,
2008-09-06,,True,星期六、星期日,
2008-09-07,,True,星期六、星期日,
2008-09-13,,True,星期六、星期日,
2008-09-14,中秋節,True,放假之紀念日及節日,
2008-09-20,,True,星期六、星期日,
2008-09-21,,True,星期六、星期日,
2008-09-27,,True,星期六、星期日,
2008-09-28,,True,星期六、星期日,
2008-10-04,,True,星期六、星期日,
2008-10-05,,True,星期六、星期日,
2008-10-10,國慶日,True,放假之紀念日及節日,
2008-10-11,,True,星期六、星期日,
2008-10-12,,True,星期六、星期日,
2008-10-18,,True,星期六、星期日,
2008-10-19,,True,星期六、星期日,
2008-10-25,,True,星期六、星期日,
2008-10-26,,True,星期六、星期日,
2008-11-01,,True,星期六、星期日,
2008-11-02,,True,星期六、星期日,
2008-11-08,,True,星期六、星期日,
2008-11-09,,True,星期六、星期日,
2008-11-15,,True,星期六、星期日,
2008-11-16,,True,星期六、星期日,
2008-11-22,,True,星期六、星期日,
2008-11-23,,True,星期六、星期日,
2008-11-29,,True,星期六、星期日,
2008-11-30,,True,星期六、星期日,
2008-12-06,,True,星期六、星期日,
2008-12-07,,True,星期六、星期日,
2008-12-13,,True,星期六、星期日,
2008-12-14,,True,星期六、星期日,
2008-12-20,,True,星期六、星期日,
2008-12-21,,True,星期六、星期日,
2008-12-27,,True,星期六、星期日,
2008-12-28,,True,星期六、星期日,
2009-01-01,,True,放假之紀念日及節日,
2009-01-02,,True,調整放假日,
2009-01-03,,True,星期六、星期日,
2009-01-04,,True,星期六、星期日,
2009-01-10,,False,補行上班日,
2009-01-11,,True,星期六、星期日,
2009-01-17,,False,補行上班日,
2009-01-18,,True,星期六、星期日,
2009-01-24,,True,星期六、星期日,
2009-01-25,春節,True,紀念日及節日,
2009-01-26,春節,True,紀念日及節日,
2009-01-27,春節,True,紀念日及節日,
2009-01-28,春節,True,紀念日及節日,
2009-01-29,春節,True,紀念日及節日,
2009-01-30,,True,調整放假日,
2009-01-31,,True,星期六、星期日,
2009-02-01,,True,星期六、星期日,
2009-02-07,,True,星期六、星期日,
2009-02-08,,True,星期六、星期日,
2009-02-14,,True,星期六、星期日,
2009-02-15,,True,星期六、星期日,
2009-02-21,,True,星期六、星期日,
2009-02-22,,True,星期六、星期日,
2009-02-28,和平紀念日,True,放假之紀念日及節日,
2009-03-01,,True,星期六、星期日,
2009-03-07,,True,星期六、星期日,
2009-03-08,,True,星期六、星期日,
2009-03-14,,True,星期六、星期日,
2009-03-15,,True,星期六、星期日,
2009-03-21,,True,星期六、星期日,
2009-03-22,,True,星期六、星期日,
2009-03-28,,True,星期六、星期日,
2009-03-29,,True,星期六、星期日,
2009-04-04,清明節、兒童節,True,放假之紀念日及節日,
2009-04-05,,True,星期六、星期日,
2009-04-11,,True,星期六、星期日,
2009-04-12,,True,星期六、星期日,
2009-04-18,,True,星期六、星期日,
2009-04-19,,True,星期六、星期日,
2009-04-25,,True,星期六、星期日,
2009-04-26,,True,星期六、星期日,
2009-05-02,,True,星期六、星期日,
2009-05-03,,True,星期六、星期日,
2009-05-09,,True,星期六、星期日,
2009-05-10,,True,星期六、星期日,
2009-05-16,,True,星期六、星期日,
2009-05-17,,True,星期六、星期日,
2009-05-23,,True,星期六、星期日,
2009-05-24,,True,星期六、星期日,
2009-05-28,端午節,True,放假之紀念日及節日,
2009-05-29,,True,調整放假日,
2009-05-30,,True,星期六、星期日,
2009-05-31,,True,星期六、星期日,
2009-06-06,,False,補行上班日,
2009-06-07,,True,星期六、星期日,
2009-06-13,,True,星期六、星期日,
2009-06-14,,True,星期六、星期日,
2009-06-20,,True,星期六、星期日,
2009-06-21,,True,星期六、星期日,
2009-06-27,,True,星期六、星期日,
2009-06-28,,True,星期六、星期日,
2009-07-04,,True,星期六、星期日,
2009-07-05,,True,星期六、星期日,
2009-07-11,,True,星期六、星期日,
2009-07-12,,True,星期六、星期日,
2009-07-18,,True,星期六、星期日,
2009-07-19,,True,星期六、星期日,
2009-07-25,,True,星期六、星期日,
2009-07-26,,True,星期六、星期日,
2009-08-01,,True,星期六、星期日,
2009-08-02,,True,星期六、星期日,
2009-08-08,,True,星期六、星期日,
2009-08-09,,True,星期六、星期日,
2009-08-15,,True,星期六、星期日,
2009-08-16,,True,星期六、星期日,
2009-08-22,,True,星期六、星期日,
2009-08-23,,True,星期六、星期日,
2009-08-29,,True,星期六、星期日,
2009-08-30,,True,星期六、星期日,
2009-09-05,,True,星期六、星期日,
2009-09-06,,True,星期六、星期日,
2009-09-12,,True,星期六、星期日,
2009-09-13,,True,星期六、星期日,
2009-09-19,,True,星期六、星期日,
2009-09-20,,True,星期六、星期日,
2009-09-26,,True,星期六、星期日,
2009-09-27,,True,星期六、星期日,
2009-10-03,中秋節,True,放假之紀念日及節日,
2009-10-04,,True,星期六、星期日,
2009-10-10,國慶日,True,放假之紀念日及節日,
2009-10-11,,True,星期六、星期日,
2009-10-17,,True,星期六、星期日,
2009-10-18,,True,星期六、星期日,
2009-10-24,,True,星期六、星期日,
2009-10-25,,True,星期六、星期日,
2009-10-31,,True,星期六、星期日,
2009-11-01,,True,星期六、星期日,
2009-11-07,,True,星期六、星期日,
2009-11-08,,True,星期六、星期日,
2009-11-14,,True,星期六、星期日,
2009-11-15,,True,星期六、星期日,
2009-11-21,,True,星期六、星期日,
2009-11-22,,True,星期六、星期日,
2009-11-28,,True,星期六、星期日,
2009-11-29,,True,星期六、星期日,
2009-12-05,,True,星期六、星期日,
2009-12-06,,True,星期六、星期日,
2009-12-12,,True,星期六、星期日,
2009-12-13,,True,星期六、星期日,
2009-12-19,,True,星期六、星期日,
2009-12-20,,True,星期六、星期日,
2009-12-26,,True,星期六、星期日,
2009-12-27,,True,星期六、星期日,
2010-01-01,,True,放假之紀念日及節日,
2010-01-02,,True,星期六、星期日,
2010-01-03,,True,星期六、星期日,
2010-01-09,,True,星期六、星期日,
2010-01-10,,True,星期六、星期日,
2010-01-16,,True,星期六、星期日,
2010-01-17,,True,星期六、星期日,
2010-01-23,,True,星期六、星期日,
2010-01-24,,True,星期六、星期日,
2010-01-30,,True,星期六、星期日,
2010-01-31,,True,星期六、星期日,
2010-02-06,,False,補行上班日,
2010-02-07,,True,星期六、星期日,
2010-02-13,春節,True,紀念日及節日,
2010-02-14,春節,True,紀念日及節日,
2010-02-15,春節,True,紀念日及節日,
2010-02-16,春節,True,紀念日及節日,
2010-02-17,,True,補假,
2010-02-18,,True,補假,
2010-02-18,,True,調整放假日,
2010-02-20,,True,星期六、星期日,
2010-02-21,,True,星期六、星期日,
2010-02-27,,True,星期六、星期日,
2010-02-28,和平紀念日,True,放假之紀念日及節日,
2010-03-06,,True,星期六、星期日,
2010-03-07,,True,星期六、星期日,
2010-03-13,,True,星期六、星期日,
