p_star,alerts,sensitivity,false_alarm_per100,ppv,tp,fp,fn,tn,mode,model,auc,n_weeks,event_weeks
0.2,1872,0.723916532905297,7.6138147566719,0.48183760683760685,902,970,344,11770,final,tfm,0.9309781882872917,13986,1246
0.3,1246,0.5947030497592295,3.963893249607535,0.5947030497592295,741,505,505,12235,final,tfm,0.9309781882872917,13986,1246
0.4,889,0.492776886035313,2.1585557299843012,0.6906636670416197,614,275,632,12465,final,tfm,0.9309781882872917,13986,1246
0.5,649,0.39646869983948635,1.2166405023547882,0.7611710323574731,494,155,752,12585,final,tfm,0.9309781882872917,13986,1246
0.6,481,0.31219903691813805,0.7221350078492935,0.8087318087318087,389,92,857,12648,final,tfm,0.9309781882872917,13986,1246
0.7,281,0.20465489566613163,0.20408163265306123,0.9074733096085409,255,26,991,12714,final,tfm,0.9309781882872917,13986,1246
0.8,167,0.12439807383627609,0.09419152276295134,0.9281437125748503,155,12,1091,12728,final,tfm,0.9309781882872917,13986,1246
0.9,87,0.0666131621187801,0.03139717425431711,0.9540229885057471,83,4,1163,12736,final,tfm,0.9309781882872917,13986,1246
0.2,283,0.16211878009630817,0.6357927786499215,0.7137809187279152,202,81,1044,12659,final,naive,0.7435340971800499,13986,1246
0.3,208,0.15569823434991975,0.10989010989010989,0.9326923076923077,194,14,1052,12726,final,naive,0.7435340971800499,13986,1246
0.4,190,0.1508828250401284,0.015698587127158554,0.9894736842105263,188,2,1058,12738,final,naive,0.7435340971800499,13986,1246
0.5,190,0.1508828250401284,0.015698587127158554,0.9894736842105263,188,2,1058,12738,final,naive,0.7435340971800499,13986,1246
0.6,190,0.1508828250401284,0.015698587127158554,0.9894736842105263,188,2,1058,12738,final,naive,0.7435340971800499,13986,1246
0.7,190,0.1508828250401284,0.015698587127158554,0.9894736842105263,188,2,1058,12738,final,naive,0.7435340971800499,13986,1246
0.8,190,0.1508828250401284,0.015698587127158554,0.9894736842105263,188,2,1058,12738,final,naive,0.7435340971800499,13986,1246
0.9,182,0.14446227929373998,0.015698587127158554,0.989010989010989,180,2,1066,12738,final,naive,0.7435340971800499,13986,1246
0.2,2513,0.16452648475120385,18.116169544740973,0.0815758058097891,205,2308,1041,10432,final,snaive,0.6550903235723231,13986,1246
0.3,2236,0.14365971107544143,16.145996860282576,0.08005366726296959,179,2057,1067,10683,final,snaive,0.6550903235723231,13986,1246
0.4,1976,0.12680577849117175,14.270015698587127,0.07995951417004049,158,1818,1088,10922,final,snaive,0.6550903235723231,13986,1246
0.5,1816,0.10914927768860354,13.186813186813186,0.07488986784140969,136,1680,1110,11060,final,snaive,0.6550903235723231,13986,1246
0.6,1760,0.10353130016051364,12.802197802197803,0.07329545454545454,129,1631,1117,11109,final,snaive,0.6550903235723231,13986,1246
0.7,1700,0.10192616372391654,12.346938775510203,0.07470588235294118,127,1573,1119,11167,final,snaive,0.6550903235723231,13986,1246
0.8,1576,0.10032102728731943,11.389324960753532,0.07931472081218274,125,1451,1121,11289,final,snaive,0.6550903235723231,13986,1246
0.9,1365,0.09791332263242375,9.756671899529042,0.08937728937728938,122,1243,1124,11497,final,snaive,0.6550903235723231,13986,1246
0.2,1319,0.4982256919801277,4.905780392780472,0.5322213798332069,702,617,707,11960,asof,tfm,0.8676600684848755,13986,1409
0.3,759,0.33995741660752304,2.2262860777609923,0.6310935441370223,479,280,930,12297,asof,tfm,0.8676600684848755,13986,1409
0.4,440,0.2320794889992903,0.8984654528106861,0.7431818181818182,327,113,1082,12464,asof,tfm,0.8676600684848755,13986,1409
0.5,247,0.1391057487579844,0.4055021070207522,0.7935222672064778,196,51,1213,12526,asof,tfm,0.8676600684848755,13986,1409
0.6,136,0.085166784953868,0.12721634730062814,0.8823529411764706,120,16,1289,12561,asof,tfm,0.8676600684848755,13986,1409
