bin,n_raw,mean_pred_raw,observed_raw,n_cal,mean_pred_cal,observed_cal
0.0–0.1,40552,0.02,0.032402840797001384,40552,0.023989487649595714,0.032402840797001384
0.1–0.2,2734,0.1514886765216569,0.2168983174835406,1240,0.1776076466082756,0.29274193548387095
0.2–0.3,1616,0.24961459053723156,0.26732673267326734,3395,0.2500324067182292,0.22945508100147274
0.3–0.4,927,0.3482709516250699,0.3300970873786408,803,0.3484138637528087,0.386052303860523
0.4–0.5,590,0.4486481873898694,0.43728813559322033,843,0.4470860342940723,0.4377224199288256
0.5–0.6,389,0.5478037859698873,0.45758354755784064,558,0.5388738315751546,0.47491039426523296
0.6–0.7,249,0.6468148585555754,0.5742971887550201,37,0.6303184091192604,0.5405405405405406
0.7–0.8,198,0.7483934120851784,0.51010101010101,80,0.7777777777777778,0.55
0.8–0.9,124,0.8394755193178081,0.4596774193548387,0,,
0.9–1.0,129,0.9800000000000001,0.6356589147286822,0,,
