method,series,crossing,lead
EWMA,台南市|七股區,2015-09-01,
EWMA,台南市|七股區,2015-10-05,
EWMA,台南市|七股區,2023-09-25,
EWMA,台南市|七股區,2023-10-18,
EWMA,台南市|下營區,2015-09-02,
EWMA,台南市|中西區,2015-07-22,0.0
EWMA,台南市|中西區,2019-07-02,
EWMA,台南市|中西區,2023-07-29,
EWMA,台南市|中西區,2023-09-01,13.0
EWMA,台南市|仁德區,2015-08-02,
EWMA,台南市|仁德區,2015-08-20,0.0
EWMA,台南市|仁德區,2015-12-12,
EWMA,台南市|仁德區,2023-06-08,
EWMA,台南市|佳里區,2015-08-18,
EWMA,台南市|佳里區,2023-09-03,
EWMA,台南市|六甲區,2015-09-09,
EWMA,台南市|北區,2015-06-21,
EWMA,台南市|北區,2015-07-21,8.0
EWMA,台南市|北區,2023-07-09,
EWMA,台南市|南化區,2015-09-11,
EWMA,台南市|南區,2014-11-22,
EWMA,台南市|南區,2014-12-21,
EWMA,台南市|南區,2015-07-21,
EWMA,台南市|南區,2023-06-25,
EWMA,台南市|南區,2023-07-21,
EWMA,台南市|善化區,2015-08-10,0.0
EWMA,台南市|善化區,2023-09-04,
EWMA,台南市|大內區,2015-09-02,
EWMA,台南市|學甲區,2015-08-16,
EWMA,台南市|學甲區,2023-10-31,
EWMA,台南市|安南區,2014-11-06,
EWMA,台南市|安南區,2015-07-03,
EWMA,台南市|安南區,2023-06-28,
EWMA,台南市|安南區,2023-08-08,5.0
EWMA,台南市|安定區,2015-08-26,
EWMA,台南市|安定區,2015-10-14,
EWMA,台南市|安定區,2015-11-05,
EWMA,台南市|安定區,2023-08-26,
EWMA,台南市|安平區,2015-07-19,
EWMA,台南市|安平區,2015-08-08,1.0
EWMA,台南市|安平區,2023-08-03,
EWMA,台南市|安平區,2023-09-07,8.0
EWMA,台南市|官田區,2015-09-01,
EWMA,台南市|官田區,2023-10-23,
EWMA,台南市|將軍區,2015-09-19,
