"year","threshold","indicator","basis","source"
2016,11000,"全國腸病毒門急診就診人次（週）","新聞稿確認","疾管署 2016-05 新聞稿：第 17 週（4/24–4/30）11174 人次突破流行閾值 11000"
2017,11000,"全國腸病毒門急診就診人次（週）","推定","未找到該年新聞稿；2016 與 2023–2025 皆為 11000"
2018,11000,"全國腸病毒門急診就診人次（週）","推定","未找到該年新聞稿；同上"
2019,11000,"全國腸病毒門急診就診人次（週）","推定","未找到該年新聞稿；同上"
2020,11000,"全國腸病毒門急診就診人次（週）","推定","COVID 期未進入流行期；沿用 11000"
2021,11000,"全國腸病毒門急診就診人次（週）","推定","COVID 期未進入流行期；沿用 11000"
2022,11000,"全國腸病毒門急診就診人次（週）","推定","COVID 期未進入流行期；沿用 11000"
2023,11000,"全國腸病毒門急診就診人次（週）","新聞稿確認","疾管署 2023-05-09、2023-09-12、2023-10-11 新聞稿：流行閾值 11000 人次"
2024,11000,"全國腸病毒門急診就診人次（週）","新聞稿確認","工商時報 2024-12-17 引述疾管署：仍高於流行閾值 1 萬 1000 人次"
2025,11000,"全國腸病毒門急診就診人次（週）","新聞稿確認","中央社 2025-11-18：11/9–11/15 共 11223 人次達流行閾值 11000"
2026,12000,"全國腸病毒門急診就診人次（週）","新聞稿確認","中央社、風傳媒 2026-09-15 引述疾管署：流行閾值為單週就診超過 12000 人次"
