yw,ev_inp,ev_inp_total,ev_out,ev_out_total,ev_rods,rods_total,ev_oe,ev_rods_pct,ev_out_per_1k,ev_thr,ev_in_period
200701,,,,,148.0,,,,,12000.0,
200702,,,,,84.0,,,,,12000.0,
200703,,,,,80.0,,,,,12000.0,
200704,,,,,89.0,,,,,12000.0,
200705,,,,,66.0,,,,,12000.0,
200706,,,,,46.0,,,,,12000.0,
200707,,,,,75.0,,,,,12000.0,
200708,,,,,100.0,,,,,12000.0,
200709,,,,,42.0,,,,,12000.0,
200710,,,,,40.0,,,,,12000.0,
200711,,,,,34.0,,,,,12000.0,
200712,,,,,49.0,,,,,12000.0,
200713,,,,,79.0,,,,,12000.0,
200714,,,,,67.0,,,,,12000.0,
200715,,,,,61.0,,,,,12000.0,
200716,,,,,104.0,,,,,12000.0,
200717,,,,,105.0,,,,,12000.0,
200718,,,,,148.0,,,,,12000.0,
200719,,,,,190.0,,,,,12000.0,
200720,,,,,227.0,,,,,12000.0,
200721,,,,,280.0,,,,,12000.0,
200722,,,,,449.0,,,,,12000.0,
200723,,,,,462.0,,,,,12000.0,
200724,,,,,606.0,,,,,12000.0,
200725,,,,,792.0,,,,,12000.0,
200726,,,,,682.0,,,,,12000.0,
200727,,,,,750.0,,,,,12000.0,
200728,,,,,672.0,,,,,12000.0,
200729,,,,,790.0,,,,,12000.0,
200730,,,,,729.0,,,,,12000.0,
200731,,,,,726.0,,,,,12000.0,
200732,,,,,612.0,,,,,12000.0,
200733,,,,,491.0,,,,,12000.0,
200734,,,,,476.0,,,,,12000.0,
200735,,,,,464.0,,,,,12000.0,
200736,,,,,428.0,,,,,12000.0,
200737,,,,,401.0,,,,,12000.0,
200738,,,,,367.0,,,,,12000.0,
200739,,,,,465.0,,,,,12000.0,
200740,,,,,478.0,,,,,12000.0,
200741,,,,,521.0,,,,,12000.0,
200742,,,,,402.0,,,,,12000.0,
200743,,,,,314.0,,,,,12000.0,
200744,,,,,293.0,,,,,12000.0,
200745,,,,,233.0,,,,,12000.0,
200746,,,,,260.0,,,,,12000.0,
200747,,,,,292.0,,,,,12000.0,
200748,,,,,235.0,,,,,12000.0,
200749,,,,,220.0,,,,,12000.0,
200750,,,,,211.0,,,,,12000.0,
200751,,,,,242.0,,,,,12000.0,
200752,,,,,219.0,,,,,12000.0,
200753,,,,,,,,,,12000.0,
