config,target,segment,h,wis,mae,mape,wape,mase,cov80,cov60,dir_hit,dir_hit3,hit_tol10,thr,thr_hit_rate,thr_false_alarm,thr_accuracy,n,rel_wis_vs_snaive
ma3,ev_oe,all,1,795.1080892458724,904.9791164658634,15.676184596257176,0.14122836573052494,0.19519253547626225,0.8746987951807229,0.7204819277108434,0.36626506024096384,0.27710843373493976,0.4746987951807229,11000.0,0.8214285714285714,0.04229607250755287,0.9301204819277108,415,0.2119873969398962
ma3,ev_oe,all,2,1020.8391313401756,1161.420080321285,20.013279484040076,0.18090716567121734,0.2507327374579779,0.8771084337349397,0.7253012048192771,0.38072289156626504,0.25301204819277107,0.38795180722891565,11000.0,0.7738095238095238,0.05740181268882175,0.908433734939759,415,0.27084347940507714
ma3,ev_oe,all,3,1264.9187265605633,1438.521374386435,24.890654292425882,0.22365850364563084,0.3106085322153594,0.8963855421686747,0.744578313253012,0.38795180722891565,0.2,0.3060240963855422,11000.0,0.7023809523809523,0.06948640483383686,0.8843373493975903,415,0.3343043720175876
ma3,ev_oe,all,4,1566.929567091411,1788.8486687490706,31.22919334895946,0.2776727272196656,0.38617986955857597,0.8795180722891566,0.7518072289156627,0.39759036144578314,0.2,0.25060240963855424,11000.0,0.6547619047619048,0.08761329305135952,0.8602409638554217,415,0.412487334191873
naive,ev_oe,all,1,485.82733601070953,551.4771084337349,10.232438556527345,0.08606188733508718,0.11875183720346576,0.8506024096385543,0.6939759036144578,0.43855421686746987,0.3397590361445783,0.6385542168674698,11000.0,0.8928571428571429,0.027190332326283987,0.9566265060240964,415,0.12952864360974586
naive,ev_oe,all,2,848.415202141901,968.2795180722892,16.821700490430548,0.1508228643192504,0.20911277552450583,0.8602409638554217,0.7301204819277108,0.46265060240963857,0.2289156626506024,0.43373493975903615,11000.0,0.8214285714285714,0.045317220543806644,0.927710843373494,415,0.2250969014350037
naive,ev_oe,all,3,1149.0096974564926,1308.7951807228915,22.66735113906157,0.2034889275273707,0.2827593859478778,0.8891566265060241,0.744578313253012,0.4578313253012048,0.14698795180722893,0.35180722891566263,11000.0,0.75,0.0634441087613293,0.8987951807228916,415,0.30367086618661093
naive,ev_oe,all,4,1413.2062704149935,1601.0795180722891,27.760742618246837,0.24852639803766602,0.3458272629809308,0.891566265060241,0.7397590361445783,0.4674698795180723,0.163855421686747,0.2987951807228916,11000.0,0.6904761904761905,0.07854984894259819,0.8746987951807229,415,0.37202035074797535
snaive,ev_oe,all,1,3750.732829986613,4865.70843373494,161.45701108047547,0.7593280747750146,1.0455092589600405,0.7590361445783133,0.5686746987951807,0.4891566265060241,0.3204819277108434,0.04819277108433735,11000.0,0.2857142857142857,0.2084592145015106,0.689156626506024,415,1.0
snaive,ev_oe,all,2,3769.1109772423024,4864.55421686747,161.322290999413,0.7577212849497296,1.0491424398292768,0.7542168674698795,0.563855421686747,0.5132530120481927,0.38795180722891565,0.04819277108433735,11000.0,0.2857142857142857,0.2084592145015106,0.689156626506024,415,1.0
snaive,ev_oe,all,3,3783.7337242302547,4860.327710843373,161.1375245146138,0.7556742933335132,1.051978683075192,0.7566265060240964,0.5686746987951807,0.5277108433734939,0.43855421686746987,0.04819277108433735,11000.0,0.2857142857142857,0.2084592145015106,0.689156626506024,415,1.0
snaive,ev_oe,all,4,3798.7337724230256,4860.5397590361445,161.02264299929888,0.7544737317522651,1.0553068569733879,0.7566265060240964,0.5686746987951807,0.5469879518072289,0.4578313253012048,0.04819277108433735,11000.0,0.2857142857142857,0.21148036253776434,0.6867469879518072,415,1.0
ma3,ev_oe,pre_covid,1,993.7815598290598,1257.8653846153845,16.10138874486771,0.1444860956790464,0.2656927814318343,0.8653846153846154,0.6730769230769231,0.2692307692307692,0.25,0.38461538461538464,11000.0,0.875,0.075,0.9134615384615384,104,0.32108980373090396
ma3,ev_oe,pre_covid,2,1299.095303847537,1622.8090614886733,20.73885965026089,0.18579208247282117,0.3432455825247202,0.8640776699029126,0.6699029126213593,0.3106796116504854,0.21359223300970873,0.30097087378640774,11000.0,0.8333333333333334,0.08860759493670886,0.8932038834951457,103,0.4167777013605042
ma3,ev_oe,pre_covid,3,1640.6673162269024,2055.2904865649966,26.245481047656273,0.23441127558874594,0.43490278553790745,0.9019607843137255,0.696078431372549,0.30392156862745096,0.16666666666666666,0.2549019607843137,11000.0,0.75,0.08974358974358974,0.8725490196078431,102,0.5236546111577498
ma3,ev_oe,pre_covid,4,2073.794317456437,2570.4558122478916,32.894171948260166,0.2919202205649781,0.5432018436034277,0.8217821782178217,0.7029702970297029,0.3564356435643564,0.1782178217821782,0.2376237623762376,11000.0,0.6666666666666666,0.14285714285714285,0.8118811881188119,101,0.6579239744592061
naive,ev_oe,pre_covid,1,600.6906837606838,771.4423076923077,9.943918081172537,0.08861257209504728,0.16220408674550765,0.8557692307692307,0.6153846153846154,0.46153846153846156,0.27884615384615385,0.6538461538461539,11000.0,0.8333333333333334,0.05,0.9230769230769231,104,0.19408254444254022
naive,ev_oe,pre_covid,2,1055.1674433656958,1332.621359223301,17.100921443745595,0.15256908736430955,0.2816179293850292,0.8640776699029126,0.6893203883495146,0.47572815533980584,0.20388349514563106,0.34951456310679613,11000.0,0.7916666666666666,0.06329113924050633,0.9029126213592233,103,0.3385203997689199
naive,ev_oe,pre_covid,3,1478.806797385621,1838.4313725490197,23.66713835841077,0.20967792433167398,0.38902845657829904,0.9019607843137255,0.6764705882352942,0.45098039215686275,0.14705882352941177,0.28431372549019607,11000.0,0.75,0.07692307692307693,0.8823529411764706,102,0.47199331077264434
naive,ev_oe,pre_covid,4,1859.6857865786578,2311.09900990099,29.48604341336569,0.2624657189215811,0.48900735859219935,0.8811881188118812,0.6831683168316832,0.4752475247524752,0.12871287128712872,0.21782178217821782,11000.0,0.6666666666666666,0.1038961038961039,0.8415841584158416,101,0.5899967290159321
snaive,ev_oe,pre_covid,1,3095.0268376068375,3769.903846153846,43.082194582808064,0.43303416603895284,0.7952465539372147,0.8173076923076923,0.6153846153846154,0.4423076923076923,0.3076923076923077,0.1346153846153846,11000.0,0.125,0.2375,0.6153846153846154,104,1.0
snaive,ev_oe,pre_covid,2,3116.998101402374,3744.893203883495,42.42784208950758,0.42874514537746566,0.7954310306964957,0.8155339805825242,0.6019417475728155,0.5048543689320388,0.3786407766990291,0.13592233009708737,11000.0,0.125,0.22784810126582278,0.6213592233009708,103,1.0
snaive,ev_oe,pre_covid,3,3133.109651416122,3716.5588235294117,41.624284647616925,0.423883290619507,0.7946723291880688,0.8235294117647058,0.6078431372549019,0.5098039215686274,0.4019607843137255,0.13725490196078433,11000.0,0.125,0.21794871794871795,0.6274509803921569,102,1.0
snaive,ev_oe,pre_covid,4,3152.027282728273,3701.9504950495048,41.005193828562476,0.42042123419753324,0.7955876722792323,0.8217821782178217,0.6039603960396039,0.6039603960396039,0.48514851485148514,0.13861386138613863,11000.0,0.125,0.22077922077922077,0.6237623762376238,101,1.0
ma3,ev_oe,covid,1,345.63862231658413,239.1188959660297,15.699416873226658,0.15940515163481395,0.048134214898724166,1.0,0.9681528662420382,0.4585987261146497,0.2802547770700637,0.554140127388535,11000.0,,0.0,1.0,157,0.13298045080017157
ma3,ev_oe,covid,2,434.95869623338837,307.2547770700637,20.033425835314066,0.2048269507581387,0.061677184717329435,1.0,0.9681528662420382,0.49044585987261147,0.2802547770700637,0.445859872611465,11000.0,,0.0,1.0,157,0.16658630250587278
