config,target,segment,h,wis,mae,mape,wape,mase,cov80,cov60,dir_hit,dir_hit3,hit_tol10,thr,thr_hit_rate,thr_false_alarm,thr_accuracy,n,rel_wis_vs_snaive
ets,ev_oe,all,1,441.53953309581834,553.0144408986421,10.266883728528107,0.08630179889509224,0.11905102232428297,0.8674698795180723,0.6987951807228916,0.39036144578313253,0.3397590361445783,0.6481927710843374,11000.0,0.8928571428571429,0.027190332326283987,0.9566265060240964,415,
ets,ev_oe,all,2,753.2567179824478,971.0965465074062,16.898751098356385,0.1512616552773603,0.20965309145650093,0.8144578313253013,0.6385542168674698,0.3927710843373494,0.2289156626506024,0.42409638554216866,11000.0,0.8214285714285714,0.045317220543806644,0.927710843373494,415,
ets,ev_oe,all,3,1023.5898171265034,1315.8919287847739,22.868663181795743,0.20459231610437228,0.2842009307968851,0.7855421686746988,0.6096385542168675,0.38795180722891565,0.14698795180722893,0.3349397590361446,11000.0,0.7619047619047619,0.0634441087613293,0.9012048192771084,415,
ets,ev_oe,all,4,1270.2280433894919,1612.873484104656,28.01626013021253,0.25035710779537484,0.3482804486656709,0.7518072289156627,0.5686746987951807,0.40240963855421685,0.1686746987951807,0.28674698795180725,11000.0,0.7023809523809523,0.07854984894259819,0.8771084337349397,415,
theta,ev_oe,all,1,516.2957356165765,556.5570581682721,10.362316094161798,0.08685464927395228,0.11988073502199656,0.8891566265060241,0.8096385542168675,0.3759036144578313,0.3373493975903614,0.6433734939759036,11000.0,0.8809523809523809,0.027190332326283987,0.9542168674698795,415,
theta,ev_oe,all,2,860.1616352292548,975.4113343014415,17.11136445564891,0.15193374287384456,0.2106915361295467,0.8313253012048193,0.7180722891566265,0.40963855421686746,0.2289156626506024,0.41686746987951806,11000.0,0.8095238095238095,0.045317220543806644,0.9253012048192771,415,
theta,ev_oe,all,3,1137.502652582556,1317.9219543886918,22.985686288840746,0.20490794053444256,0.284772723469872,0.8313253012048193,0.691566265060241,0.40963855421686746,0.1927710843373494,0.3204819277108434,11000.0,0.7380952380952381,0.0634441087613293,0.8963855421686747,415,
theta,ev_oe,all,4,1395.192248287523,1613.3599231976443,28.281740073512204,0.2504326149480681,0.348570940911813,0.8192771084337349,0.6987951807228916,0.41927710843373495,0.19518072289156627,0.2987951807228916,11000.0,0.6785714285714286,0.07854984894259819,0.8722891566265061,415,
ets,ev_oe,pre_covid,1,588.7212062961809,776.040617746995,10.016858961579798,0.08914076205452107,0.16308683384964093,0.8942307692307693,0.7019230769230769,0.375,0.27884615384615385,0.6538461538461539,11000.0,0.8333333333333334,0.05,0.9230769230769231,104,
ets,ev_oe,pre_covid,2,1018.2322146508524,1341.8460801994088,17.285195371597975,0.1536252067569444,0.28339906219531463,0.8155339805825242,0.6019417475728155,0.3786407766990291,0.20388349514563106,0.34951456310679613,11000.0,0.7916666666666666,0.06329113924050633,0.9029126213592233,103,
ets,ev_oe,pre_covid,3,1413.5906888698955,1859.9507414463703,24.047964524936983,0.2121322648475606,0.3934143638946203,0.7450980392156863,0.49019607843137253,0.3235294117647059,0.14705882352941177,0.2647058823529412,11000.0,0.7916666666666666,0.07692307692307693,0.8921568627450981,102,
