config,target,segment,h,wis,mae,mape,wape,mase,cov80,cov60,dir_hit,dir_hit3,hit_tol10,thr,thr_hit_rate,thr_false_alarm,thr_accuracy,n,rel_wis_vs_snaive
ets,ev_out,all,1,441.4896322483951,540.624515556982,10.688394297357224,0.08806144932823168,0.12281904631846453,0.8674698795180723,0.7349397590361446,0.4433734939759036,0.38313253012048193,0.6409638554216868,9819.0,0.912621359223301,0.019230769230769232,0.963855421686747,415,
ets,ev_out,all,2,739.0260248880319,932.16794203665,17.20045652387935,0.15153907013861603,0.2123060271950931,0.8192771084337349,0.6746987951807228,0.4530120481927711,0.24819277108433735,0.42650602409638555,9819.0,0.8557692307692307,0.03536977491961415,0.9373493975903614,415,
ets,ev_out,all,3,995.3057471364983,1255.4428775974459,22.9461295547665,0.2037035073957357,0.28609173974526164,0.8024096385542169,0.6433734939759036,0.491566265060241,0.2216867469879518,0.327710843373494,9819.0,0.8,0.04838709677419355,0.9132530120481928,415,
ets,ev_out,all,4,1229.676145961382,1537.7899931491008,27.896465266794017,0.2490949853969416,0.3505594922145494,0.7686746987951807,0.6168674698795181,0.46987951807228917,0.22409638554216868,0.28433734939759037,9819.0,0.7333333333333333,0.07096774193548387,0.8795180722891566,415,
theta,ev_out,all,1,505.825780611454,545.6481953953621,10.892081213305554,0.08887974837830895,0.12386911914518796,0.8939759036144578,0.8,0.3686746987951807,0.3469879518072289,0.6385542168674698,9819.0,0.9223300970873787,0.022435897435897436,0.963855421686747,415,
theta,ev_out,all,2,835.9291421222194,948.2894329635376,17.72471212870681,0.1541598808682481,0.2158433953504252,0.8337349397590361,0.7204819277108434,0.41445783132530123,0.21686746987951808,0.39036144578313253,9819.0,0.8461538461538461,0.04180064308681672,0.9301204819277108,415,
theta,ev_out,all,3,1101.2191366794923,1276.5037203126697,23.618227572138455,0.207120761662223,0.2906923920661894,0.8313253012048193,0.6867469879518072,0.41445783132530123,0.19518072289156627,0.3156626506024096,9819.0,0.7904761904761904,0.05806451612903226,0.9036144578313253,415,
theta,ev_out,all,4,1346.7310493546704,1558.4427803107071,28.903170572525344,0.25244037438981154,0.3548617026853689,0.8240963855421687,0.7036144578313253,0.41686746987951806,0.1927710843373494,0.2891566265060241,9819.0,0.7142857142857143,0.08064516129032258,0.8674698795180723,415,
ets,ev_out,pre_covid,1,569.4460792761467,725.3010631305103,10.504456439955732,0.08805341545778468,0.161075691544343,0.8942307692307693,0.7403846153846154,0.5192307692307693,0.36538461538461536,0.6634615384615384,9819.0,0.8571428571428571,0.043478260869565216,0.9230769230769231,104,
ets,ev_out,pre_covid,2,978.1909712270289,1232.368395111205,17.6388967563848,0.14912107260507243,0.2749489839024026,0.8058252427184466,0.6504854368932039,0.5533980582524272,0.2815533980582524,0.36893203883495146,9819.0,0.8,0.07352941176470588,0.883495145631068,103,
ets,ev_out,pre_covid,3,1343.3918519562865,1690.4889872443073,23.87610842387003,0.20378409802032682,0.3778848302489772,0.7450980392156863,0.5686274509803921,0.5588235294117647,0.3137254901960784,0.2549019607843137,9819.0,0.7428571428571429,0.08955223880597014,0.8529411764705882,102,
ets,ev_out,pre_covid,4,1708.6163761394887,2148.235549552951,29.344599820968256,0.25787395158808973,0.4812482747819631,0.6732673267326733,0.5247524752475248,0.5445544554455446,0.25742574257425743,0.19801980198019803,9819.0,0.6571428571428571,0.13636363636363635,0.7920792079207921,101,
theta,ev_out,pre_covid,1,599.33500386845,754.7771240024982,10.747150831753242,0.09163188509743703,0.16746644665435953,0.9230769230769231,0.7692307692307693,0.27884615384615385,0.3076923076923077,0.6346153846153846,9819.0,0.8857142857142857,0.057971014492753624,0.9230769230769231,104,
theta,ev_out,pre_covid,2,1019.1494516386626,1293.759163157968,18.228688854028352,0.15654957954788187,0.2883490717476706,0.8058252427184466,0.6116504854368932,0.33980582524271846,0.17475728155339806,0.3300970873786408,9819.0,0.8,0.10294117647058823,0.8640776699029126,103,
theta,ev_out,pre_covid,3,1387.2303655497865,1771.2129594486903,24.944400408849543,0.2135151651780632,0.3953022306083334,0.7843137254901961,0.5392156862745098,0.3333333333333333,0.1568627450980392,0.2647058823529412,9819.0,0.7428571428571429,0.13432835820895522,0.8235294117647058,102,
theta,ev_out,pre_covid,4,1735.2934604883335,2220.5765420662387,30.761582341625825,0.2665577561201803,0.4956239651569786,0.7326732673267327,0.5841584158415841,0.3564356435643564,0.1188118811881188,0.2079207920792079,9819.0,0.6285714285714286,0.18181818181818182,0.7524752475247525,101,
ets,ev_out,covid,1,119.25907438797397,135.9206390521391,10.722418285427526,0.09566469265233536,0.029094813741103367,0.8471337579617835,0.732484076433121,0.5095541401273885,0.39490445859872614,0.6369426751592356,9819.0,,0.0,1.0,157,
ets,ev_out,covid,2,199.28408447088736,232.89158042714297,16.557107273826475,0.1639155143637374,0.04954880493564577,0.8726114649681529,0.6878980891719745,0.5286624203821656,0.27388535031847133,0.47770700636942676,9819.0,,0.0,1.0,157,
ets,ev_out,covid,3,269.6613875052828,328.87207462464505,22.452303425868923,0.23146923204822464,0.06979413004253766,0.8662420382165605,0.7261146496815286,0.5859872611464968,0.22929936305732485,0.3885350318471338,9819.0,,0.0,1.0,157,
ets,ev_out,covid,4,334.8308419838866,412.04492738620235,27.732052182648612,0.29000857862531165,0.08721681544651769,0.8471337579617835,0.7070063694267515,0.5668789808917197,0.25477707006369427,0.3630573248407643,9819.0,,0.0,1.0,157,
theta,ev_out,covid,1,279.32949678977235,144.35278676574274,11.190280831646193,0.10159947065990159,0.031050600017058387,0.9936305732484076,0.9745222929936306,0.4585987261146497,0.3503184713375796,0.6305732484076433,9819.0,,0.0,1.0,157,
theta,ev_out,covid,2,372.54842525328337,246.72221792427973,17.62376886662915,0.17364989829965982,0.05274746215117954,0.9936305732484076,0.9490445859872612,0.4968152866242038,0.27388535031847133,0.4140127388535032,9819.0,,0.0,1.0,157,
theta,ev_out,covid,3,455.2598936171963,338.48452188095433,23.56992220604315,0.2382347374109449,0.0720346955222463,0.9936305732484076,0.9490445859872612,0.4968152866242038,0.27388535031847133,0.3630573248407643,9819.0,,0.0,1.0,157,
theta,ev_out,covid,4,546.61265618257,422.7901647738628,29.40705248686835,0.2975713729097956,0.08979529863586116,1.0,0.9426751592356688,0.5159235668789809,0.27388535031847133,0.3630573248407643,9819.0,,0.0,1.0,157,
ets,ev_out,post_covid,1,683.5852627237194,828.4956042817442,10.77792527815409,0.08691083607524103,0.192533419118168,0.8701298701298701,0.7337662337662337,0.3246753246753247,0.38311688311688313,0.6298701298701299,9819.0,0.9411764705882353,0.03488372093023256,0.9545454545454546,154,
ets,ev_out,post_covid,2,1126.803413098193,1440.9791814302848,17.56075644846154,0.1510639137800809,0.33553608754270814,0.7741935483870968,0.6774193548387096,0.3096774193548387,0.2,0.4129032258064516,9819.0,0.8840579710144928,0.06976744186046512,0.9096774193548387,155,
ets,ev_out,post_covid,3,1498.0069123318988,1903.5000114612271,22.835058129050857,0.19949666759017373,0.44375731341159924,0.7756410256410257,0.6089743589743589,0.3525641025641026,0.15384615384615385,0.3141025641025641,9819.0,0.8285714285714286,0.10465116279069768,0.8653846153846154,156,
ets,ev_out,post_covid,4,1816.4134037733436,2270.828044919713,27.129275867043887,0.23806837090399802,0.5298284935729711,0.7515923566878981,0.5859872611464968,0.3248407643312102,0.17197452229299362,0.2611464968152866,9819.0,0.7714285714285715,0.14942528735632185,0.8152866242038217,157,
theta,ev_out,post_covid,1,673.5852438664957,813.5311212376223,10.68594757435724,0.08534103205204899,0.18905344019819117,0.7727272727272727,0.6428571428571429,0.33766233766233766,0.37012987012987014,0.6493506493506493,9819.0,0.9411764705882353,0.03488372093023256,0.9545454545454546,154,
theta,ev_out,post_covid,2,1183.536114175312,1429.3389203902286,17.49205722185567,0.1498436162124316,0.33286260079149155,0.6903225806451613,0.5612903225806452,0.38064516129032255,0.1870967741935484,0.4064516129032258,9819.0,0.8695652173913043,0.06976744186046512,0.9032258064516129,155,
theta,ev_out,post_covid,3,1564.311802166739,1897.0721290428312,22.79972957939763,0.19882299219515912,0.44235299992580734,0.6987179487179487,0.5192307692307693,0.38461538461538464,0.14102564102564102,0.30128205128205127,9819.0,0.8142857142857143,0.10465116279069768,0.8589743589743589,156,
theta,ev_out,post_covid,4,1896.882541096834,2268.136733826477,27.203749876786485,0.2377862200608305,0.5293740397945415,0.7070063694267515,0.5414012738853503,0.35668789808917195,0.1592356687898089,0.267515923566879,9819.0,0.7571428571428571,0.14942528735632185,0.8089171974522293,157,
