origins,model,h,wis,mae,mape,cov80,dir_hit,rel_wis_naive
2023w01-2026w32 (189),ma3,1,1016.439,1228.573,16.623,0.778,0.291,1.604
2023w01-2026w32 (189),ma3,2,1300.812,1577.37,20.95,0.804,0.302,1.182
2023w01-2026w32 (189),ma3,3,1597.906,1934.703,25.44,0.804,0.339,1.082
2023w01-2026w32 (189),ma3,4,1976.395,2408.485,31.561,0.81,0.349,1.098
2023w01-2026w32 (189),naive,1,633.6,754.815,11.224,0.741,0.407,1.0
2023w01-2026w32 (189),naive,2,1100.128,1331.757,18.163,0.741,0.418,1.0
2023w01-2026w32 (189),naive,3,1476.344,1795.354,23.827,0.794,0.429,1.0
2023w01-2026w32 (189),naive,4,1799.319,2174.984,28.555,0.799,0.407,1.0
2023w01-2026w32 (189),snaive,1,4546.261,5792.159,71.467,0.667,0.519,7.175
2023w01-2026w32 (189),snaive,2,4563.152,5790.54,71.178,0.667,0.561,4.148
2023w01-2026w32 (189),snaive,3,4578.481,5785.651,70.821,0.667,0.571,3.101
2023w01-2026w32 (189),snaive,4,4595.769,5789.974,70.688,0.667,0.577,2.554
2023w01-2026w32 (189),tfm_log,1,510.725,644.64,9.68,0.804,0.735,0.806
2023w01-2026w32 (189),tfm_log,2,908.903,1128.023,15.531,0.788,0.698,0.826
2023w01-2026w32 (189),tfm_log,3,1257.795,1590.861,20.415,0.788,0.661,0.852
2023w01-2026w32 (189),tfm_log,4,1542.299,1953.441,23.757,0.825,0.661,0.857
2023w01-2026w32 (189),tfm_raw,1,525.624,653.935,10.127,0.762,0.698,0.83
2023w01-2026w32 (189),tfm_raw,2,924.698,1143.983,16.131,0.746,0.709,0.841
2023w01-2026w32 (189),tfm_raw,3,1266.455,1606.211,21.137,0.788,0.672,0.858
2023w01-2026w32 (189),tfm_raw,4,1545.829,1948.031,24.823,0.804,0.683,0.859
