target,label,mode,origin_yw,target_yw,target_week_start,h,median,q10,q20,q30,q40,q50,q60,q70,q80,q90,summer_break,winter_break,reopen,holiday_days,cny
ev_oe,全國腸病毒門急診就診人次（健保門診 + RODS 急診）,uni,202636,202637,2026-09-13,1,11103.041015625,10315.2109375,10617.732421875,10828.6064453125,10953.15234375,11103.041015625,11270.919921875,11415.263671875,11624.978515625,12126.7021484375,0,0,0,0,0
ev_oe,全國腸病毒門急診就診人次（健保門診 + RODS 急診）,uni,202636,202638,2026-09-20,2,11629.4228515625,10056.76171875,10635.94140625,11034.18359375,11345.1552734375,11629.4228515625,11925.3046875,12275.08984375,12740.5234375,13602.419921875,0,0,0,1,0
ev_oe,全國腸病毒門急診就診人次（健保門診 + RODS 急診）,uni,202636,202639,2026-09-27,3,12356.431640625,10079.80078125,10887.0712890625,11469.041015625,11923.203125,12356.431640625,12816.224609375,13336.17578125,13998.37109375,15388.16796875,0,0,0,1,0
ev_oe,全國腸病毒門急診就診人次（健保門診 + RODS 急診）,uni,202636,202640,2026-10-04,4,12809.677734375,9941.0048828125,10934.5859375,11656.4892578125,12253.5546875,12809.677734375,13422.744140625,14089.8671875,15025.8115234375,16756.77734375,0,0,0,1,0
ev_out,全國腸病毒健保門診就診人次,uni,202636,202637,2026-09-13,1,10575.765625,9869.0576171875,10140.388671875,10330.837890625,10441.6357421875,10575.765625,10727.1416015625,10854.986328125,11042.37109375,11499.9248046875,0,0,0,0,0
ev_out,全國腸病毒健保門診就診人次,uni,202636,202638,2026-09-20,2,11008.60546875,9571.1396484375,10104.505859375,10468.650390625,10751.0146484375,11008.60546875,11275.814453125,11592.806640625,12014.869140625,12812.08203125,0,0,0,1,0
ev_out,全國腸病毒健保門診就診人次,uni,202636,202639,2026-09-27,3,11731.0869140625,9624.810546875,10379.115234375,10917.830078125,11332.7890625,11731.0869140625,12153.943359375,12630.626953125,13238.63671875,14544.73046875,0,0,0,1,0
ev_out,全國腸病毒健保門診就診人次,uni,202636,202640,2026-10-04,4,12180.2861328125,9502.236328125,10438.1640625,11112.484375,11664.623046875,12180.2861328125,12748.26171875,13367.63671875,14246.740234375,15887.34765625,0,0,0,1,0
ev_rods,RODS 急診腸病毒就診人次,uni,202636,202637,2026-09-13,1,457.8517150878906,380.1805114746094,408.8454284667969,428.1407470703125,442.81903076171875,457.8517150878906,473.70098876953125,489.40106201171875,511.6575622558594,555.3495483398438,0,0,0,0,0
ev_rods,RODS 急診腸病毒就診人次,uni,202636,202638,2026-09-20,2,528.7476806640625,415.9537048339844,457.17816162109375,484.6464538574219,507.36456298828125,528.7476806640625,551.5228271484375,577.0812377929688,613.48193359375,677.1105346679688,0,0,0,1,0
ev_rods,RODS 急診腸病毒就診人次,uni,202636,202639,2026-09-27,3,546.2993774414062,399.8471374511719,450.16632080078125,486.367919921875,516.7984619140625,546.2993774414062,578.5349731445312,612.9076538085938,659.8453979492188,758.3976440429688,0,0,0,1,0
ev_rods,RODS 急診腸病毒就診人次,uni,202636,202640,2026-10-04,4,575.765380859375,405.1453857421875,462.9857482910156,505.0185546875,540.951416015625,575.765380859375,614.9324951171875,657.510498046875,723.104736328125,842.2947998046875,0,0,0,1,0
ev_rods_pct,RODS 急診腸病毒就診百分比（%）,uni,202636,202637,2026-09-13,1,0.3610597252845764,0.3072003424167633,0.3264804482460022,0.3400578200817108,0.3505086898803711,0.3610597252845764,0.37218421697616577,0.38383346796035767,0.3997093439102173,0.43078553676605225,0,0,0,0,0
ev_rods_pct,RODS 急診腸病毒就診百分比（%）,uni,202636,202638,2026-09-20,2,0.38711974024772644,0.30879145860671997,0.3362575173377991,0.3554573059082031,0.37187111377716064,0.38711974024772644,0.4036562442779541,0.42263442277908325,0.4485463798046112,0.4935426712036133,0,0,0,1,0
ev_rods_pct,RODS 急診腸病毒就診百分比（%）,uni,202636,202639,2026-09-27,3,0.40715163946151733,0.3079298436641693,0.34136754274368286,0.3662106990814209,0.38733232021331787,0.40715163946151733,0.4288496971130371,0.4535353183746338,0.4862666726112366,0.5521183013916016,0,0,0,1,0
ev_rods_pct,RODS 急診腸病毒就診百分比（%）,uni,202636,202640,2026-10-04,4,0.42244136333465576,0.30643510818481445,0.34466588497161865,0.373656690120697,0.3988226056098938,0.42244136333465576,0.44891029596328735,0.4781915545463562,0.5204503536224365,0.5990668535232544,0,0,0,1,0
