target,label,mode,origin_yw,target_yw,target_week_start,h,median,q10,q20,q30,q40,q50,q60,q70,q80,q90,summer_break,winter_break,reopen,holiday_days,cny
ev_oe,全國腸病毒門急診就診人次（健保門診 + RODS 急診）,joint,202636,202637,2026-09-13,1,11112.763671875,10276.7275390625,10598.70703125,10816.099609375,10948.2255859375,11112.763671875,11288.810546875,11437.689453125,11664.705078125,12145.73828125,0,0,0,0,0
ev_oe,全國腸病毒門急診就診人次（健保門診 + RODS 急診）,joint,202636,202638,2026-09-20,2,11642.765625,10020.64453125,10628.73046875,11026.2294921875,11342.8271484375,11642.765625,11943.3505859375,12285.4580078125,12760.1806640625,13609.6240234375,0,0,0,1,0
ev_oe,全國腸病毒門急診就診人次（健保門診 + RODS 急診）,joint,202636,202639,2026-09-27,3,12389.994140625,10093.548828125,10916.9228515625,11500.181640625,11953.328125,12389.994140625,12848.49609375,13355.7392578125,14033.3115234375,15545.234375,0,0,0,1,0
ev_oe,全國腸病毒門急診就診人次（健保門診 + RODS 急診）,joint,202636,202640,2026-10-04,4,12865.6103515625,9978.9140625,10996.0185546875,11714.7529296875,12311.408203125,12865.6103515625,13464.2080078125,14128.369140625,15172.931640625,17071.380859375,0,0,0,1,0
ev_out,全國腸病毒健保門診就診人次,joint,202636,202637,2026-09-13,1,10599.501953125,9796.33203125,10103.984375,10313.74609375,10446.287109375,10599.501953125,10761.2861328125,10900.5859375,11111.9873046875,11549.7880859375,0,0,0,0,0
ev_out,全國腸病毒健保門診就診人次,joint,202636,202638,2026-09-20,2,11021.892578125,9509.8447265625,10081.64453125,10453.3095703125,10746.85546875,11021.892578125,11296.048828125,11607.0068359375,12037.39453125,12807.625,0,0,0,1,0
ev_out,全國腸病毒健保門診就診人次,joint,202636,202639,2026-09-27,3,11729.115234375,9596.466796875,10372.2783203125,10913.2548828125,11328.232421875,11729.115234375,12147.994140625,12609.2744140625,13225.8359375,14561.1455078125,0,0,0,1,0
ev_out,全國腸病毒健保門診就診人次,joint,202636,202640,2026-10-04,4,12168.1904296875,9490.5009765625,10445.72265625,11115.20703125,11661.1376953125,12168.1904296875,12715.111328125,13318.58984375,14248.568359375,15933.28515625,0,0,0,1,0
ev_rods,RODS 急診腸病毒就診人次,joint,202636,202637,2026-09-13,1,466.7276306152344,395.1261291503906,422.2649841308594,439.6956787109375,452.951171875,466.7276306152344,481.2450256347656,495.2469482421875,515.9915771484375,555.4000854492188,0,0,0,0,0
ev_rods,RODS 急診腸病毒就診人次,joint,202636,202638,2026-09-20,2,557.3748779296875,446.31219482421875,487.76531982421875,514.3706665039062,536.256103515625,557.3748779296875,579.9708251953125,604.802001953125,639.6707763671875,699.857177734375,0,0,0,1,0
ev_rods,RODS 急診腸病毒就診人次,joint,202636,202639,2026-09-27,3,584.01171875,441.07366943359375,492.3607177734375,527.6271362304688,556.3641357421875,584.01171875,614.17333984375,646.7733154296875,690.6962280273438,783.1818237304688,0,0,0,1,0
ev_rods,RODS 急診腸病毒就診人次,joint,202636,202640,2026-10-04,4,606.195556640625,441.03826904296875,497.9409484863281,538.9854736328125,573.3623046875,606.195556640625,642.9451904296875,683.1815185546875,744.7496948242188,856.290283203125,0,0,0,1,0
