config,segment,h,wis_sum,wis,mae,cov80,n,rel_wis_vs_naive
ma3,covid,1,554453.0407407407,196.1971127886556,213.40610993158762,0.9072894550601557,2826,1.3586912727304956
ma3,covid,2,686538.0061728396,242.93630791678683,266.2019344184949,0.9012738853503185,2826,1.1303312810272446
ma3,covid,3,844557.4960493827,298.85261714415526,330.0836937432833,0.8987968860580325,2826,1.0740951260326765
ma3,covid,4,1037886.9702606311,367.26361297262247,411.44204171144486,0.8998584571832979,2826,1.0785146108582635
ma3,post_covid,1,1320581.6866666668,476.4003198653199,556.753367003367,0.685064935064935,2772,1.2050249244613365
ma3,post_covid,2,1601277.0639506173,573.9344315235188,673.0350457984866,0.6924731182795699,2790,1.0747058328674848
ma3,post_covid,3,1910141.8844444444,680.2499588477366,802.5575999788963,0.6891025641025641,2808,1.0177862055819777
ma3,post_covid,4,2202437.2674622773,779.3479361154556,925.4156859147422,0.6953290870488322,2826,1.0093610238393822
ma3,pre_covid,1,655799.5792592593,350.3202880658436,405.7307692307692,0.8301282051282052,1872,1.2235679119192846
ma3,pre_covid,2,769359.1920987655,414.97259552252723,478.85305046146476,0.8349514563106796,1854,1.054646536171139
ma3,pre_covid,3,898813.4972839507,489.5498351219775,567.4280037117728,0.8333333333333334,1836,1.0131998797780162
ma3,pre_covid,4,1018283.3588477367,560.1118585521104,646.8387116489426,0.8690869086908691,1818,1.022755925054985
mv_cov,covid,1,314940.3011871338,111.44384330754913,138.46328299617565,0.7657466383581033,2826,0.771763534892686
mv_cov,covid,2,484979.01295437285,171.6132388373577,212.40389306243227,0.772823779193206,2826,0.7984801191706143
mv_cov,covid,3,671824.7261084663,237.72991015869295,295.2950394151908,0.7717622080679406,2826,0.8544162679708761
mv_cov,covid,4,844071.1800693088,298.68053081008804,370.1406056214459,0.7346072186836518,2826,0.8771119846321255
mv_cov,post_covid,1,887286.0016601563,320.08874518764657,394.63016359733814,0.7568542568542569,2772,0.8096445361323661
mv_cov,post_covid,2,1205991.0067803278,432.2548411399024,543.3607133598738,0.7878136200716845,2790,0.8094074401933227
mv_cov,post_covid,3,1570629.2278455948,559.3408931074056,694.8022326499308,0.7749287749287749,2808,0.8368827337923403
mv_cov,post_covid,4,1860466.74798211,658.3392597247381,833.1417552086789,0.778485491861288,2826,0.8526384153161866
mv_cov,pre_covid,1,420591.94231465657,224.67518286039348,274.56462542215985,0.7708333333333334,1872,0.7847257316165082
mv_cov,pre_covid,2,532577.7996188693,287.25879159593813,364.6587811071896,0.7885652642934197,1854,0.730063847131604
mv_cov,pre_covid,3,615553.1631178114,335.2686073626424,424.3033868544502,0.8104575163398693,1836,0.6938907712807892
mv_cov,pre_covid,4,676820.7791571723,372.288657402185,464.38427616870575,0.8146314631463146,1818,0.6797935526184289
mv_nocov,covid,1,317485.6745819092,112.34454160718656,137.6563070989718,0.7915782024062279,2826,0.7780009912022435
mv_nocov,covid,2,467920.5479170058,165.57698086235166,202.463531774911,0.7891012031139419,2826,0.7703946869517441
mv_nocov,covid,3,636071.7265580919,225.07845950392496,275.94996407651263,0.7841472045293701,2826,0.8089461576021438
mv_nocov,covid,4,803606.1324903701,284.36168877932414,349.6150838658899,0.7434536447275301,2826,0.8350629501096081
mv_nocov,post_covid,1,929904.8625993517,335.46351464623075,409.603539404931,0.7712842712842712,2772,0.8485340574716433
mv_nocov,post_covid,2,1239665.705811564,444.3246257389119,554.9278575555398,0.792831541218638,2790,0.832008398068557
mv_nocov,post_covid,3,1597714.8033457438,568.9867533282563,710.2852131389824,0.7916666666666666,2808,0.8513148162144891
mv_nocov,post_covid,4,1881746.043950399,665.8690884467087,845.3526597613572,0.7901627742392073,2826,0.8623905623046371
mv_nocov,pre_covid,1,439496.90870361327,234.7739896921011,286.84074202969543,0.8071581196581197,1872,0.8199979565172433
mv_nocov,pre_covid,2,561020.914770847,302.6002776541785,377.81416745479055,0.8171521035598706,1854,0.769054000470929
mv_nocov,pre_covid,3,660661.7654242622,359.8375628672452,455.6745898843071,0.8246187363834423,1836,0.7447400637891455
mv_nocov,pre_covid,4,724584.6707238092,398.5614250405991,504.35251933014956,0.8344334433443344,1818,0.7277672356596012
naive,covid,1,408078.75333333336,144.4015404576551,159.80537862703468,0.9118895966029724,2826,1.0
naive,covid,2,607377.6933333334,214.92487379098844,235.05590941259732,0.9072894550601557,2826,1.0
naive,covid,3,786296.74,278.23663835810333,305.54387827317765,0.9087048832271762,2826,1.0
naive,covid,4,962330.0044444446,340.5272485649131,378.0297239915074,0.9083510261854211,2826,1.0
naive,post_covid,1,1095895.7444444445,395.3447851531185,456.8235930735931,0.6836219336219336,2772,1.0
naive,post_covid,2,1489967.78,534.0386308243727,623.6182795698925,0.6956989247311828,2790,1.0
naive,post_covid,3,1876761.4200000002,668.3623290598291,783.4038461538462,0.7012108262108262,2808,1.0
naive,post_covid,4,2182011.4066666667,772.1201014390186,912.8021939136589,0.6981599433828733,2826,1.0
naive,pre_covid,1,535973.1755555556,286.3104570275404,330.3883547008547,0.8141025641025641,1872,1.0
naive,pre_covid,2,729494.8266666667,393.47078029485795,457.0334412081985,0.8187702265372169,1854,1.0
naive,pre_covid,3,887103.8333333334,483.1720225127088,559.60348583878,0.8278867102396514,1836,1.0
naive,pre_covid,4,995626.9466666667,547.6495856252292,636.9510451045104,0.8536853685368537,1818,1.0
uni_nocov,covid,1,334234.595372857,118.27126517086235,146.37306344585053,0.7979476291578202,2826,0.8190443453443953
uni_nocov,covid,2,496043.1734880236,175.5283699532992,214.91118545154268,0.7845010615711253,2826,0.8166963965464425
uni_nocov,covid,3,660591.460840522,233.75494014172753,287.1685573850552,0.7664543524416136,2826,0.8401299754091845
uni_nocov,covid,4,828838.9284881592,293.2904913263125,360.1606936066689,0.7317763623496107,2826,0.8612834730915929
uni_nocov,post_covid,1,919150.8684766982,331.5840073869763,406.817547477513,0.7922077922077922,2772,0.8387210855925481
uni_nocov,post_covid,2,1223238.7901746961,438.43684235652194,545.7885496624909,0.817921146953405,2790,0.8209833840666649
uni_nocov,post_covid,3,1551995.3084804958,552.7048819374985,688.769806152735,0.8098290598290598,2808,0.8269539707825493
uni_nocov,post_covid,4,1800238.7123514812,637.0271452057613,800.57383503951,0.8071479122434536,2826,0.8250363434633012
uni_nocov,pre_covid,1,447679.1556281196,239.14484809194423,286.2809417431171,0.8322649572649573,1872,0.835264106574147
uni_nocov,pre_covid,2,577984.2875061035,311.74988538624785,384.35498252629975,0.848435814455232,1854,0.7923075892767174
uni_nocov,pre_covid,3,674893.8670674642,367.5892522153944,458.67214703196277,0.8730936819172114,1836,0.7607833961572678
uni_nocov,pre_covid,4,745620.2123375786,410.1321299986681,507.3348212331304,0.8707370737073707,1818,0.7488951708608288
