config,segment,h,wis_sum,wis,mae,cov80,n,rel_wis_vs_naive
ma3,covid,1,510761.01481481484,147.87522142872461,162.713858328508,0.9337000579038796,3454,1.3441917609801506
ma3,covid,2,640555.7120987654,185.4533040239622,204.35456475583862,0.9334105385060799,3454,1.139842847816858
ma3,covid,3,790848.542962963,228.9659939093697,253.24208110832313,0.9293572669368848,3454,1.075157806817697
ma3,covid,4,973163.878436214,281.749820045227,314.43417901592,0.9331210191082803,3454,1.0813369083032647
ma3,post_covid,1,1250625.654074074,369.1339002579912,435.3737701692247,0.6319362455726092,3388,1.1743437913698014
ma3,post_covid,2,1503569.1701234567,440.92937540277325,524.0194851743239,0.6328445747800586,3410,1.0637654587816558
ma3,post_covid,3,1804524.4655144033,525.7938419331012,626.8820361737029,0.6349067599067599,3432,1.0129421591236436
ma3,post_covid,4,2069651.3521262002,599.2042131228142,720.4821856212513,0.6369426751592356,3454,0.9993245782604638
ma3,pre_covid,1,622381.0162962963,272.01967495467494,320.2368881118881,0.8334790209790209,2288,1.1831193331382106
ma3,pre_covid,2,733507.8661728395,323.70161790504835,383.6109640090222,0.8415710503089144,2266,1.0341214330666133
ma3,pre_covid,3,856724.1075720165,381.784361663109,450.72560573050765,0.8538324420677362,2244,1.0010372241994538
ma3,pre_covid,4,966899.2250205762,435.14816607586687,512.138741651943,0.8847884788478848,2222,1.0107438301636684
mv_cov,covid,1,320720.0515104294,92.85467617557308,116.68952439489846,0.7990735379270412,3454,0.8440527728565086
mv_cov,covid,2,478696.1579922994,138.59182339093786,172.32249186490407,0.8103647944412276,3454,0.8518203517023681
mv_cov,covid,3,639040.7445826425,185.01469154100823,229.49891308255462,0.8063115228720324,3454,0.8687752560540517
mv_cov,covid,4,797780.3513744037,230.9728869063126,285.62927868328967,0.7802547770700637,3454,0.8864584452584914
mv_cov,post_covid,1,901244.8492375268,266.0108763983255,329.20953872972285,0.762987012987013,3388,0.8462734550169522
mv_cov,post_covid,2,1182911.0798975732,346.894744837998,445.39686471779675,0.7879765395894428,3410,0.8369019348154264
mv_cov,post_covid,3,1534466.5328267205,447.1056331080188,566.7395064036051,0.7881701631701632,3432,0.8613492765371782
mv_cov,post_covid,4,1817436.8969738644,526.1832359507424,670.9625535012672,0.779965257672264,3454,0.8775436300986539
mv_cov,pre_covid,1,459268.1910071691,200.7291044611753,245.11567148837176,0.7814685314685315,2288,0.8730489228439338
mv_cov,pre_covid,2,602601.9217842738,265.93200431786136,335.9231309587726,0.8000882612533098,2266,0.8495662986897128
mv_cov,pre_covid,3,694741.5469887416,309.5996198702057,397.1931009662343,0.8204099821746881,2244,0.8117690906406339
mv_cov,pre_covid,4,767031.9941993713,345.19891728144523,431.14818935282693,0.828082808280828,2222,0.8018135040481091
mv_nocov,covid,1,321697.9508412043,93.13779700092772,116.19898898600151,0.820787492762015,3454,0.8466263526430791
mv_nocov,covid,2,452924.4490975486,131.13041375146167,160.76346305207704,0.8135495078170237,3454,0.8059606434758174
mv_nocov,covid,3,600759.4390591304,173.9315110188565,214.7596585560066,0.801679212507238,3454,0.8167318593063322
mv_nocov,covid,4,755567.9230941349,218.75157009094815,271.57114148015705,0.76664736537348,3454,0.8395538511813787
mv_nocov,post_covid,1,958506.0319845412,282.91205194348913,345.10500488709107,0.7712514757969303,3388,0.9000419941688487
