config,target,segment,h,wis,mae,mape,wape,mase,cov80,cov60,dir_hit,dir_hit3,hit_tol10,thr,thr_hit_rate,thr_false_alarm,thr_accuracy,n,rel_wis_vs_snaive
ma3,nhi_er_ili,all,1,682.5170655957162,771.4931726907631,12.046347428104333,0.13571755978016364,0.25496031142771175,0.8337349397590361,0.6289156626506024,0.4457831325301205,0.40240963855421685,0.5951807228915663,7514.0,0.8476190476190476,0.06129032258064516,0.9156626506024096,415,0.35744154214822504
ma3,nhi_er_ili,all,2,834.7399732262382,945.8243641231592,15.121561340350134,0.16650954412781907,0.31368838805755445,0.8409638554216867,0.6265060240963856,0.42409638554216866,0.3373493975903614,0.5084337349397591,7514.0,0.7788461538461539,0.07717041800643087,0.8867469879518072,415,0.43653361355833176
ma3,nhi_er_ili,all,3,982.8430216669145,1121.1110218652386,18.495504651661687,0.19741814781168052,0.37284408274558795,0.8361445783132531,0.6289156626506024,0.3927710843373494,0.27951807228915665,0.4457831325301205,7514.0,0.7184466019417476,0.10256410256410256,0.8530120481927711,415,0.5135879157758951
ma3,nhi_er_ili,all,4,1140.5542792073645,1312.953770638108,22.537015447355202,0.23145891637026014,0.43756916317393446,0.8554216867469879,0.619277108433735,0.41686746987951806,0.25783132530120484,0.3759036144578313,7514.0,0.6310679611650486,0.13782051282051283,0.8048192771084337,415,0.5964937105347001
naive,nhi_er_ili,all,1,492.3463989290496,557.166265060241,8.519313416631698,0.09801414784018231,0.18311402850467098,0.8289156626506025,0.6506024096385542,0.491566265060241,0.46265060240963857,0.7349397590361446,7514.0,0.9047619047619048,0.03225806451612903,0.9518072289156626,415,0.25784711471019556
naive,nhi_er_ili,all,2,755.6072289156626,850.3590361445783,13.151966041502403,0.14970315930132672,0.28091471265882617,0.8554216867469879,0.6457831325301204,0.4891566265060241,0.3253012048192771,0.5614457831325301,7514.0,0.8365384615384616,0.05787781350482315,0.9156626506024096,415,0.395150543461459
naive,nhi_er_ili,all,3,927.9779705488621,1050.4168674698794,17.06226430668335,0.18496950646425617,0.3494574330584616,0.8506024096385543,0.6313253012048192,0.4650602409638554,0.26265060240963856,0.472289156626506,7514.0,0.7669902912621359,0.08333333333333333,0.8795180722891566,415,0.4849179993889749
naive,nhi_er_ili,all,4,1068.189606425703,1218.6481927710843,20.645245943507074,0.21483390843097533,0.40690035619485765,0.8626506024096385,0.6385542168674698,0.4795180722891566,0.20963855421686747,0.40481927710843374,7514.0,0.6893203883495146,0.10897435897435898,0.8409638554216867,415,0.5586480130820891
snaive,nhi_er_ili,all,1,1909.450875502008,2473.665060240964,52.75802765648461,0.4351558737952972,0.807684395423487,0.8337349397590361,0.6216867469879518,0.5373493975903615,0.30120481927710846,0.12771084337349398,7514.0,0.2571428571428571,0.13225806451612904,0.7132530120481928,415,1.0
snaive,nhi_er_ili,all,2,1912.2009103078983,2465.7951807228915,52.66606306307984,0.4340958501691536,0.8068091887346797,0.8337349397590361,0.6240963855421687,0.5662650602409639,0.3927710843373494,0.13012048192771083,7514.0,0.25961538461538464,0.13183279742765272,0.7156626506024096,415,1.0
snaive,nhi_er_ili,all,3,1913.6801927710844,2460.2722891566264,52.597494845712845,0.43323309553198525,0.806331390739918,0.8313253012048193,0.6168674698795181,0.5927710843373494,0.42168674698795183,0.13012048192771083,7514.0,0.2621359223300971,0.1346153846153846,0.7156626506024096,415,1.0
snaive,nhi_er_ili,all,4,1912.0977456492637,2453.0481927710844,52.54833859953744,0.43244468251679097,0.8057328251886043,0.8313253012048193,0.6168674698795181,0.5951807228915663,0.472289156626506,0.13012048192771083,7514.0,0.27184466019417475,0.1346153846153846,0.7180722891566265,415,1.0
ma3,nhi_er_ili,pre_covid,1,808.9104273504273,923.3621794871794,11.802115495546083,0.1387906493636632,0.2526353253420065,0.8365384615384616,0.6730769230769231,0.4807692307692308,0.375,0.5865384615384616,7514.0,0.7096774193548387,0.0958904109589041,0.8461538461538461,104,0.40135868851313306
ma3,nhi_er_ili,pre_covid,2,967.6366031403572,1105.447680690399,14.513161740663609,0.16661756346669893,0.3031635707907744,0.8640776699029126,0.6796116504854369,0.46601941747572817,0.3300970873786408,0.5145631067961165,7514.0,0.6333333333333333,0.1506849315068493,0.7864077669902912,103,0.47668567996626904
ma3,nhi_er_ili,pre_covid,3,1113.1062220608408,1280.3264342774146,17.4285858142682,0.19330859807998338,0.350766544602576,0.8725490196078431,0.6666666666666666,0.37254901960784315,0.30392156862745096,0.46078431372549017,7514.0,0.5517241379310345,0.1780821917808219,0.7450980392156863,102,0.5457481594929728
ma3,nhi_er_ili,pre_covid,4,1256.0591663610805,1443.2167216721673,20.573163438192395,0.2190750774219998,0.39503010721024,0.9108910891089109,0.6633663366336634,0.4158415841584158,0.24752475247524752,0.42574257425742573,7514.0,0.4642857142857143,0.2328767123287671,0.6831683168316832,101,0.6189369298607736
naive,nhi_er_ili,pre_covid,1,613.6799358974359,694.0480769230769,8.502150050727709,0.10432242669854011,0.19098188198567562,0.8269230769230769,0.6346153846153846,0.5192307692307693,0.46153846153846156,0.75,7514.0,0.8387096774193549,0.0547945205479452,0.9134615384615384,104,0.30449078898066495
naive,nhi_er_ili,pre_covid,2,908.1935490830638,1019.504854368932,12.869476284004703,0.1536639116844804,0.2781703775270935,0.9029126213592233,0.6699029126213593,0.5145631067961165,0.3300970873786408,0.5728155339805825,7514.0,0.7,0.1095890410958904,0.8349514563106796,103,0.4474023182676599
naive,nhi_er_ili,pre_covid,3,1056.751328976035,1206.0392156862745,16.02117815405987,0.18209242875265147,0.33045814655264455,0.9019607843137255,0.6568627450980392,0.4803921568627451,0.2549019607843137,0.5,7514.0,0.6206896551724138,0.1506849315068493,0.7843137254901961,102,0.5181177513882421
naive,nhi_er_ili,pre_covid,4,1166.4095049504951,1324.0594059405942,18.689624132798897,0.2009874279530784,0.36384058173237155,0.9207920792079208,0.693069306930693,0.5247524752475248,0.25742574257425743,0.45544554455445546,7514.0,0.5357142857142857,0.1917808219178082,0.7326732673267327,101,0.5747610759817896
snaive,nhi_er_ili,pre_covid,1,2015.4302136752137,2512.048076923077,36.51622519442548,0.37758616453462407,0.6849518816683864,0.9134615384615384,0.6826923076923077,0.5384615384615384,0.3173076923076923,0.15384615384615385,7514.0,0.22580645161290322,0.1917808219178082,0.6346153846153846,104,1.0
snaive,nhi_er_ili,pre_covid,2,2029.9258899676377,2504.4077669902913,36.49548362434502,0.3774745086102949,0.6849683542597931,0.912621359223301,0.6796116504854369,0.6019417475728155,0.4077669902912621,0.1553398058252427,7514.0,0.23333333333333334,0.1917808219178082,0.6407766990291263,103,1.0
snaive,nhi_er_ili,pre_covid,3,2039.5968409586058,2497.872549019608,36.454664259351354,0.3771383826078461,0.6843186080960312,0.8921568627450981,0.6764705882352942,0.6078431372549019,0.5,0.1568627450980392,7514.0,0.2413793103448276,0.1917808219178082,0.6470588235294118,102,1.0
snaive,nhi_er_ili,pre_covid,4,2029.3815181518155,2466.871287128713,36.26941696174958,0.3744621373231234,0.6771438899643805,0.8910891089108911,0.6732673267326733,0.6435643564356436,0.49504950495049505,0.15841584158415842,7514.0,0.25,0.1917808219178082,0.6534653465346535,101,1.0
ma3,nhi_er_ili,covid,1,508.5196697334277,533.1104033970277,13.546010666373274,0.1725788648194656,0.17390326418458965,0.910828025477707,0.7834394904458599,0.4713375796178344,0.42038216560509556,0.5987261146496815,7514.0,1.0,0.013245033112582781,0.9872611464968153,157,0.2887045378404231
ma3,nhi_er_ili,covid,2,628.2484375245734,661.1549893842887,17.234135737534142,0.2140295458700526,0.21583062794603328,0.9044585987261147,0.7707006369426752,0.42038216560509556,0.3885350318471338,0.5286624203821656,7514.0,0.8333333333333334,0.019867549668874173,0.9745222929936306,157,0.3557686686564563
ma3,nhi_er_ili,covid,3,742.6520893292444,788.7360226468506,21.441504133741258,0.2553301653151958,0.25763429560988277,0.9044585987261147,0.7643312101910829,0.40764331210191085,0.267515923566879,0.46496815286624205,7514.0,0.6666666666666666,0.026490066225165563,0.9617834394904459,157,0.4196208094457036
ma3,nhi_er_ili,covid,4,887.65656033481,960.8547613430842,27.068338464477513,0.3110485612592203,0.3135613810375624,0.9171974522292994,0.7452229299363057,0.42038216560509556,0.2611464968152866,0.36942675159235666,7514.0,0.5,0.033112582781456956,0.9490445859872612,157,0.5005316831671384
naive,nhi_er_ili,covid,1,366.4080537862704,394.11464968152865,9.641334968008374,0.12758306425340113,0.12769942670131088,0.9171974522292994,0.821656050955414,0.4713375796178344,0.445859872611465,0.7070063694267515,7514.0,1.0,0.006622516556291391,0.9936305732484076,157,0.20802276514658163
naive,nhi_er_ili,covid,2,563.7872894550602,595.624203821656,14.865406122515397,0.19281587509742548,0.19414151260936557,0.910828025477707,0.7770700636942676,0.4713375796178344,0.31210191082802546,0.5668789808917197,7514.0,1.0,0.013245033112582781,0.9872611464968153,157,0.3192651845903134
naive,nhi_er_ili,covid,3,686.4078131634819,722.484076433121,19.49061336617877,0.2338830399228019,0.2360384252864237,0.89171974522293,0.7707006369426752,0.45222929936305734,0.27388535031847133,0.4840764331210191,7514.0,0.8333333333333334,0.019867549668874173,0.9745222929936306,157,0.3878410985548592
naive,nhi_er_ili,covid,4,823.1116348195329,887.6178343949044,24.546556156594352,0.28734025312070866,0.28973795016917653,0.89171974522293,0.7643312101910829,0.4713375796178344,0.17197452229299362,0.39490445859872614,7514.0,0.6666666666666666,0.026490066225165563,0.9617834394904459,157,0.46413609769895503
snaive,nhi_er_ili,covid,1,1761.3844019815995,2363.5541401273886,82.4026479574741,0.7651313646167106,0.7493702098667308,0.8980891719745223,0.7006369426751592,0.535031847133758,0.28662420382165604,0.05732484076433121,7514.0,0.6666666666666666,0.1456953642384106,0.8471337579617835,157,1.0
snaive,nhi_er_ili,covid,2,1765.8902901627741,2363.5541401273886,82.4026479574741,0.7651313646167106,0.7504968121934922,0.8980891719745223,0.7070063694267515,0.5477707006369427,0.3821656050955414,0.05732484076433121,7514.0,0.6666666666666666,0.1456953642384106,0.8471337579617835,157,1.0
snaive,nhi_er_ili,covid,3,1769.8171125265394,2363.5541401273886,82.4026479574741,0.7651313646167106,0.7513004283234982,0.9044585987261147,0.6878980891719745,0.5923566878980892,0.4140127388535032,0.05732484076433121,7514.0,0.6666666666666666,0.1456953642384106,0.8471337579617835,157,1.0
snaive,nhi_er_ili,covid,4,1773.4273177636235,2363.5541401273886,82.4026479574741,0.7651313646167106,0.7519566391047751,0.8980891719745223,0.6942675159235668,0.5923566878980892,0.49044585987261147,0.05732484076433121,7514.0,0.6666666666666666,0.1456953642384106,0.8471337579617835,157,1.0
ma3,nhi_er_ili,post_covid,1,774.5474651274652,911.9588744588744,10.682405821466894,0.11879697636917867,0.33916651253215013,0.7532467532467533,0.44155844155844154,0.3961038961038961,0.4025974025974026,0.5974025974025974,7514.0,0.8970588235294118,0.11627906976744186,0.8896103896103896,154,0.38944854982584115
ma3,nhi_er_ili,post_covid,2,955.5839617682199,1128.094623655914,13.386019265574797,0.14706386166413365,0.41980273977360083,0.7612903225806451,0.44516129032258067,0.4,0.2903225806451613,0.4838709677419355,7514.0,0.8382352941176471,0.11494252873563218,0.864516129032258,155,0.48208999113091694
ma3,nhi_er_ili,post_covid,3,1139.4015469030282,1351.514245014245,16.228221335813252,0.17625882373485982,0.5032277075590041,0.7435897435897436,0.46794871794871795,0.391025641025641,0.27564102564102566,0.4166666666666667,7514.0,0.7941176470588235,0.17045454545454544,0.8141025641025641,156,0.5765807202281291
ma3,nhi_er_ili,post_covid,4,1319.1463063440888,1581.253047102304,19.269062194089226,0.20623748975699255,0.588942834815613,0.7579617834394905,0.46496815286624205,0.4140127388535032,0.2611464968152866,0.3503184713375796,7514.0,0.7101449275362319,0.23863636363636365,0.7388535031847133,157,0.6678146188822783
naive,nhi_er_ili,post_covid,1,538.798556998557,630.9545454545455,7.387025147072459,0.08219174605967354,0.23429477994040507,0.7402597402597403,0.487012987012987,0.4935064935064935,0.4805194805194805,0.7532467532467533,7514.0,0.9264705882352942,0.05813953488372093,0.935064935064935,154,0.2709121469228642
naive,nhi_er_ili,post_covid,2,848.5061935483873,995.9806451612903,11.604136056361911,0.1298408455715068,0.3706312218609797,0.7677419354838709,0.4967741935483871,0.49032258064516127,0.33548387096774196,0.5483870967741935,7514.0,0.8823529411764706,0.09195402298850575,0.896774193548387,155,0.4280694943491403
naive,nhi_er_ili,post_covid,3,1086.8986894586894,1278.698717948718,15.29905908377831,0.16676252785965923,0.47602609615976466,0.7756410256410257,0.47435897435897434,0.46794871794871795,0.2564102564102564,0.4423076923076923,7514.0,0.8235294117647058,0.13636363636363635,0.8461538461538461,156,0.5500122681827783
naive,nhi_er_ili,post_covid,4,1250.0815286624204,1481.8662420382166,18.002010908009133,0.19327480473390476,0.5517636362378069,0.7961783439490446,0.47770700636942676,0.4585987261146497,0.21656050955414013,0.3821656050955414,7514.0,0.7536231884057971,0.18181818181818182,0.7898089171974523,157,0.6328507426512199
