config,target,segment,h,wis,mae,mape,wape,mase,cov80,cov60,dir_hit,dir_hit3,hit_tol10,thr,thr_hit_rate,thr_false_alarm,thr_accuracy,n,rel_wis_vs_snaive
ets,nhi_er_ili,all,1,482.1598620940963,557.3751775187876,8.523465231173097,0.09805089876693741,0.18317941435186832,0.9180722891566265,0.8120481927710843,0.5012048192771085,0.46265060240963857,0.7373493975903614,7514.0,0.9047619047619048,0.03225806451612903,0.9518072289156626,415,
ets,nhi_er_ili,all,2,718.7546787304881,851.1307169066644,13.17080799656319,0.1498390113863238,0.28115664625359976,0.9156626506024096,0.7951807228915663,0.5036144578313253,0.3253012048192771,0.5566265060240964,7514.0,0.8365384615384616,0.05787781350482315,0.9156626506024096,415,
ets,nhi_er_ili,all,3,872.2414819108742,1051.8561417532067,17.100003949707443,0.18522295046548873,0.34992588236189914,0.9012048192771084,0.7783132530120482,0.4650602409638554,0.26265060240963856,0.4746987951807229,7514.0,0.7669902912621359,0.08333333333333333,0.8795180722891566,415,
ets,nhi_er_ili,all,4,1002.4342099577418,1221.0220379990872,20.70133737438157,0.21525239052561695,0.40771734191088776,0.8843373493975903,0.7614457831325301,0.43855421686746987,0.20963855421686747,0.4072289156626506,7514.0,0.6893203883495146,0.10897435897435898,0.8409638554216867,415,
theta,nhi_er_ili,all,1,640.8748169386339,578.189159303515,8.868970673362734,0.10171239949970443,0.19000412284519735,0.9421686746987952,0.8987951807228916,0.4602409638554217,0.4650602409638554,0.7228915662650602,7514.0,0.8857142857142857,0.035483870967741936,0.944578313253012,415,
theta,nhi_er_ili,all,2,885.607824064436,869.1378611794895,13.520536707177815,0.15300911515785398,0.28720756809500525,0.9132530120481928,0.8602409638554217,0.39036144578313253,0.3349397590361446,0.5542168674698795,7514.0,0.8173076923076923,0.06109324758842444,0.908433734939759,415,
theta,nhi_er_ili,all,3,1059.6522063390687,1074.1546182114694,17.519885342450024,0.18914952315593342,0.35720841510633283,0.927710843373494,0.8361445783132531,0.3493975903614458,0.27228915662650605,0.4650602409638554,7514.0,0.7475728155339806,0.08653846153846154,0.8722891566265061,415,
theta,nhi_er_ili,all,4,1236.2250558387361,1239.0920556589554,21.05173497097288,0.21843793048892568,0.41340149943820825,0.9204819277108434,0.8674698795180723,0.3686746987951807,0.21927710843373494,0.38795180722891565,7514.0,0.6699029126213593,0.11217948717948718,0.8337349397590361,415,
ets,nhi_er_ili,pre_covid,1,622.0885525536127,694.3213914698692,8.50272657140975,0.10436350863179723,0.19105141116627047,0.9326923076923077,0.8557692307692307,0.5480769230769231,0.46153846153846156,0.7596153846153846,7514.0,0.8387096774193549,0.0547945205479452,0.9134615384615384,104,
ets,nhi_er_ili,pre_covid,2,892.6285302394896,1019.970654751995,12.87435985067101,0.15373411900975095,0.27827942745348616,0.912621359223301,0.8349514563106796,0.5533980582524272,0.3300970873786408,0.5728155339805825,7514.0,0.7,0.1095890410958904,0.8349514563106796,103,
ets,nhi_er_ili,pre_covid,3,1019.8012225645435,1206.8318270874174,16.033925590540385,0.18221210026350615,0.3306886132114497,0.8921568627450981,0.8137254901960784,0.47058823529411764,0.2549019607843137,0.5,7514.0,0.6206896551724138,0.1506849315068493,0.7843137254901961,102,
ets,nhi_er_ili,pre_covid,4,1135.4561849919578,1325.537043334977,18.716998267733292,0.20121172796409892,0.3643246620865634,0.900990099009901,0.8316831683168316,0.4158415841584158,0.25742574257425743,0.45544554455445546,7514.0,0.5357142857142857,0.1917808219178082,0.7326732673267327,101,
theta,nhi_er_ili,pre_covid,1,782.2676728271838,720.963784730262,8.909156290192412,0.10836812907582023,0.19863732206056797,0.9519230769230769,0.9230769230769231,0.49038461538461536,0.46153846153846156,0.7403846153846154,7514.0,0.8064516129032258,0.0547945205479452,0.9038461538461539,104,
theta,nhi_er_ili,pre_covid,2,1049.189664442653,1045.8169172184053,13.295250626210601,0.15762977264591807,0.2860500073870759,0.9223300970873787,0.8640776699029126,0.3786407766990291,0.33980582524271846,0.5631067961165048,7514.0,0.6666666666666666,0.1095890410958904,0.8252427184466019,103,
theta,nhi_er_ili,pre_covid,3,1209.384105886193,1235.9029809035108,16.531490603629297,0.18660137462221932,0.3389361910127162,0.9313725490196079,0.8431372549019608,0.3333333333333333,0.2647058823529412,0.5,7514.0,0.5862068965517241,0.1506849315068493,0.7745098039215687,102,
theta,nhi_er_ili,pre_covid,4,1388.5497097673124,1356.3829023861,19.171372242121958,0.20589401778121197,0.372731963813454,0.9504950495049505,0.8910891089108911,0.38613861386138615,0.26732673267326734,0.45544554455445546,7514.0,0.5,0.1917808219178082,0.7227722772277227,101,
ets,nhi_er_ili,covid,1,329.7236572868741,394.1466260336284,9.64734067747316,0.12759341565999774,0.12770233213372703,0.9171974522292994,0.7834394904458599,0.4840764331210191,0.445859872611465,0.7070063694267515,7514.0,1.0,0.006622516556291391,0.9936305732484076,157,
ets,nhi_er_ili,covid,2,499.0685491676542,596.8889496819941,14.906097234623367,0.19322529949333192,0.19454090929837706,0.9044585987261147,0.7834394904458599,0.4713375796178344,0.31210191082802546,0.554140127388535,7514.0,1.0,0.013245033112582781,0.9872611464968153,157,
ets,nhi_er_ili,covid,3,601.2977008387707,724.8169345004469,19.566228772037427,0.23463823433371309,0.23677823575365675,0.89171974522293,0.7770700636942676,0.4394904458598726,0.27388535031847133,0.49044585987261147,7514.0,0.8333333333333334,0.019867549668874173,0.9745222929936306,157,
ets,nhi_er_ili,covid,4,720.4705012828243,890.1682384383354,24.63439301436125,0.2881658716639628,0.2905589864219767,0.8535031847133758,0.732484076433121,0.4394904458598726,0.17197452229299362,0.4012738853503185,7514.0,0.6666666666666666,0.026490066225165563,0.9617834394904459,157,
theta,nhi_er_ili,covid,1,573.443340229261,418.45101328775513,10.148853915684636,0.13546124854362301,0.13582517673007832,0.9617834394904459,0.9299363057324841,0.46496815286624205,0.45222929936305734,0.6815286624203821,7514.0,1.0,0.006622516556291391,0.9936305732484076,157,
theta,nhi_er_ili,covid,2,756.5383424086855,609.3030599887232,15.30820061266686,0.19724400378202578,0.1986286505194535,0.9426751592356688,0.9171974522292994,0.40764331210191085,0.33121019108280253,0.5605095541401274,7514.0,1.0,0.013245033112582781,0.9872611464968153,157,
theta,nhi_er_ili,covid,3,895.3042077833177,746.9920494185162,20.13612098165539,0.2418167777187528,0.24400413804477677,0.9554140127388535,0.9044585987261147,0.33121019108280253,0.2929936305732484,0.46496815286624205,7514.0,0.8333333333333334,0.019867549668874173,0.9745222929936306,157,
theta,nhi_er_ili,covid,4,1063.1682899850366,908.6463379416579,25.15521587426005,0.2941476146875173,0.29658862765891286,0.9426751592356688,0.910828025477707,0.34394904458598724,0.1910828025477707,0.37579617834394907,7514.0,0.6666666666666666,0.026490066225165563,0.9617834394904459,157,
ets,nhi_er_ili,post_covid,1,543.0683059054221,631.3003485074726,7.391701436019057,0.08223679234219516,0.23442106525803943,0.9090909090909091,0.8116883116883117,0.487012987012987,0.4805194805194805,0.7532467532467533,7514.0,0.9264705882352942,0.05813953488372093,0.935064935064935,154,
ets,nhi_er_ili,post_covid,2,825.7334892849254,996.4561611402397,11.610122503991878,0.12990283613034898,0.37080196392057824,0.9290322580645162,0.7806451612903226,0.5032258064516129,0.33548387096774196,0.5483870967741935,7514.0,0.8823529411764706,0.09195402298850575,0.896774193548387,155,
ets,nhi_er_ili,post_covid,3,1048.4407132034762,1279.6614983852178,15.315021228740983,0.16688808964924332,0.4763770488416421,0.9166666666666666,0.7564102564102564,0.48717948717948717,0.2564102564102564,0.4423076923076923,7514.0,0.8235294117647058,0.13636363636363635,0.8461538461538461,156,
