config,target,segment,h,wis,mae,mape,wape,mase,cov80,cov60,dir_hit,dir_hit3,hit_tol10,thr,thr_hit_rate,thr_false_alarm,thr_accuracy,n,rel_wis_vs_snaive
ets,nhi_er_ili,all,1,482.1598620940963,557.3751775187876,8.523465231173097,0.09805089876693741,0.18317941435186832,0.9180722891566265,0.8120481927710843,0.5012048192771085,0.46265060240963857,0.7373493975903614,7514.0,0.9047619047619048,0.03225806451612903,0.9518072289156626,415,0.2525123155982387
ets,nhi_er_ili,all,2,718.7546787304881,851.1307169066644,13.17080799656319,0.1498390113863238,0.28115664625359976,0.9156626506024096,0.7951807228915663,0.5036144578313253,0.3253012048192771,0.5566265060240964,7514.0,0.8365384615384616,0.05787781350482315,0.9156626506024096,415,0.3758782222390825
ets,nhi_er_ili,all,3,872.2414819108742,1051.8561417532067,17.100003949707443,0.18522295046548873,0.34992588236189914,0.9012048192771084,0.7783132530120482,0.4650602409638554,0.26265060240963856,0.4746987951807229,7514.0,0.7669902912621359,0.08333333333333333,0.8795180722891566,415,0.45579271040467534
ets,nhi_er_ili,all,4,1002.4342099577418,1221.0220379990872,20.70133737438157,0.21525239052561695,0.40771734191088776,0.8843373493975903,0.7614457831325301,0.43855421686746987,0.20963855421686747,0.4072289156626506,7514.0,0.6893203883495146,0.10897435897435898,0.8409638554216867,415,0.5242588733963282
ma3,nhi_er_ili,all,1,682.5170655957162,771.4931726907631,12.046347428104333,0.13571755978016364,0.25496031142771175,0.8337349397590361,0.6289156626506024,0.4457831325301205,0.40240963855421685,0.5951807228915663,7514.0,0.8476190476190476,0.06129032258064516,0.9156626506024096,415,0.35744154214822504
ma3,nhi_er_ili,all,2,834.7399732262382,945.8243641231592,15.121561340350134,0.16650954412781907,0.31368838805755445,0.8409638554216867,0.6265060240963856,0.42409638554216866,0.3373493975903614,0.5084337349397591,7514.0,0.7788461538461539,0.07717041800643087,0.8867469879518072,415,0.43653361355833176
ma3,nhi_er_ili,all,3,982.8430216669145,1121.1110218652386,18.495504651661687,0.19741814781168052,0.37284408274558795,0.8361445783132531,0.6289156626506024,0.3927710843373494,0.27951807228915665,0.4457831325301205,7514.0,0.7184466019417476,0.10256410256410256,0.8530120481927711,415,0.5135879157758951
ma3,nhi_er_ili,all,4,1140.5542792073645,1312.953770638108,22.537015447355202,0.23145891637026014,0.43756916317393446,0.8554216867469879,0.619277108433735,0.41686746987951806,0.25783132530120484,0.3759036144578313,7514.0,0.6310679611650486,0.13782051282051283,0.8048192771084337,415,0.5964937105347001
naive,nhi_er_ili,all,1,492.3463989290496,557.166265060241,8.519313416631698,0.09801414784018231,0.18311402850467098,0.8289156626506025,0.6506024096385542,0.491566265060241,0.46265060240963857,0.7349397590361446,7514.0,0.9047619047619048,0.03225806451612903,0.9518072289156626,415,0.25784711471019556
naive,nhi_er_ili,all,2,755.6072289156626,850.3590361445783,13.151966041502403,0.14970315930132672,0.28091471265882617,0.8554216867469879,0.6457831325301204,0.4891566265060241,0.3253012048192771,0.5614457831325301,7514.0,0.8365384615384616,0.05787781350482315,0.9156626506024096,415,0.395150543461459
naive,nhi_er_ili,all,3,927.9779705488621,1050.4168674698794,17.06226430668335,0.18496950646425617,0.3494574330584616,0.8506024096385543,0.6313253012048192,0.4650602409638554,0.26265060240963856,0.472289156626506,7514.0,0.7669902912621359,0.08333333333333333,0.8795180722891566,415,0.4849179993889749
naive,nhi_er_ili,all,4,1068.189606425703,1218.6481927710843,20.645245943507074,0.21483390843097533,0.40690035619485765,0.8626506024096385,0.6385542168674698,0.4795180722891566,0.20963855421686747,0.40481927710843374,7514.0,0.6893203883495146,0.10897435897435898,0.8409638554216867,415,0.5586480130820891
snaive,nhi_er_ili,all,1,1909.450875502008,2473.665060240964,52.75802765648461,0.4351558737952972,0.807684395423487,0.8337349397590361,0.6216867469879518,0.5373493975903615,0.30120481927710846,0.12771084337349398,7514.0,0.2571428571428571,0.13225806451612904,0.7132530120481928,415,1.0
snaive,nhi_er_ili,all,2,1912.2009103078983,2465.7951807228915,52.66606306307984,0.4340958501691536,0.8068091887346797,0.8337349397590361,0.6240963855421687,0.5662650602409639,0.3927710843373494,0.13012048192771083,7514.0,0.25961538461538464,0.13183279742765272,0.7156626506024096,415,1.0
snaive,nhi_er_ili,all,3,1913.6801927710844,2460.2722891566264,52.597494845712845,0.43323309553198525,0.806331390739918,0.8313253012048193,0.6168674698795181,0.5927710843373494,0.42168674698795183,0.13012048192771083,7514.0,0.2621359223300971,0.1346153846153846,0.7156626506024096,415,1.0
snaive,nhi_er_ili,all,4,1912.0977456492637,2453.0481927710844,52.54833859953744,0.43244468251679097,0.8057328251886043,0.8313253012048193,0.6168674698795181,0.5951807228915663,0.472289156626506,0.13012048192771083,7514.0,0.27184466019417475,0.1346153846153846,0.7180722891566265,415,1.0
tfm_best_mv3_hol,nhi_er_ili,all,1,362.3231681020959,460.6177416698042,8.087472927071671,0.08102977201061119,0.15244456918808466,0.7686746987951807,0.5204819277108433,0.6433734939759036,0.5325301204819277,0.7783132530120482,7514.0,0.8857142857142857,0.02258064516129032,0.9542168674698795,415,0.18975254757828666
