config,segment,h,wis,mae,wape,mase,cov80,cov60,n,rel_wis_vs_snaive
naive,all,1,4118.680315930388,4693.20843373494,0.08193986834636649,0.18263933765831367,0.7927710843373494,0.619277108433735,415,0.22145479040072077
naive,all,2,5747.6909236947795,6635.472289156626,0.11590853443895069,0.25828111019847005,0.8024096385542169,0.6048192771084338,415,0.3069378234943989
naive,all,3,7345.457076305222,8449.62048192771,0.14770954309060028,0.3294397417916067,0.7975903614457831,0.6096385542168675,415,0.38960972722561354
naive,all,4,8677.756021419009,10101.161445783133,0.17689558229237234,0.3945529404543876,0.7903614457831325,0.619277108433735,415,0.4580198551821683
snaive,all,1,18598.289558232933,24222.406024096384,0.42290488237854973,0.9451212088879936,0.8,0.5710843373493976,415,1.0
snaive,all,2,18725.91281927711,24287.60843373494,0.4242563265890938,0.9496248425860226,0.7975903614457831,0.5686746987951807,415,1.0
snaive,all,3,18853.37188219545,24379.803614457833,0.42618833120757676,0.9550969322738828,0.7951807228915663,0.5614457831325301,415,1.0
snaive,all,4,18946.244192771082,24444.639759036145,0.4280843155820611,0.9596153389993805,0.7927710843373494,0.563855421686747,415,1.0
tfm_expanding,all,1,3554.7553397966867,4335.889137801205,0.07570134378905717,0.1688854155348668,0.8120481927710843,0.5879518072289157,415,0.19113345496995438
tfm_expanding,all,2,4740.248439591701,5846.063624811747,0.10211913145897772,0.22788194309906984,0.8120481927710843,0.6168674698795181,415,0.2531384443225605
tfm_expanding,all,3,6072.797383596887,7555.847369164157,0.13208531258281195,0.2958957586470126,0.8144578313253013,0.6096385542168675,415,0.32210669908505074
tfm_expanding,all,4,7190.106558002844,9082.189434299698,0.15905093657727584,0.35731764026091445,0.8024096385542169,0.6120481927710844,415,0.37950036349400695
tfm_expanding_log1p,all,1,3583.5915221665687,4401.890059335681,0.07685366994239828,0.1710168060164169,0.8096385542168675,0.5951807228915663,415,0.19268392993592331
tfm_expanding_log1p,all,2,4887.364809938628,6059.567453178665,0.1058486196950382,0.23531658249249104,0.8120481927710843,0.6120481927710844,415,0.26099474333274714
tfm_expanding_log1p,all,3,6349.506340168536,7922.201913430883,0.13848963126890487,0.3087961115073784,0.8096385542168675,0.6072289156626506,415,0.33678359392914836
tfm_expanding_log1p,all,4,7628.3452334838485,9651.969215083529,0.16902914815632678,0.37770239676007333,0.7927710843373494,0.6,415,0.4026309993615745
tfm_expanding_sym,all,1,3542.0478035056894,4303.007308923193,0.07512725193541497,0.16752357742285337,0.8072289156626506,0.5951807228915663,415,0.19045019126168652
tfm_expanding_sym,all,2,4722.282009600904,5849.7466867469875,0.10218346724286144,0.2281249430297261,0.8289156626506025,0.6216867469879518,415,0.2521790021760446
tfm_expanding_sym,all,3,6063.203172481593,7624.756979480421,0.13328993556867705,0.2983991217438637,0.8216867469879519,0.6096385542168675,415,0.3215978133973742
tfm_expanding_sym,all,4,7204.597913372239,9190.313582454819,0.16094444993714313,0.3613960334533274,0.8168674698795181,0.6168674698795181,415,0.38026523041021215
tfm_slide156,all,1,3631.318428976322,4394.52381871235,0.07672506095445203,0.1711788821362829,0.7759036144578313,0.5686746987951807,415,0.19525012865330085
tfm_slide156,all,2,4826.56046477577,5993.80850432982,0.10469994134100884,0.23362742597461145,0.7855421686746988,0.6,415,0.25774767357707334
tfm_slide156,all,3,6270.684445908635,7729.393900602409,0.13511911497885218,0.302632561748091,0.8024096385542169,0.5879518072289157,415,0.3326028089346966
tfm_slide156,all,4,7496.560761483434,9368.612721197289,0.16406689582016035,0.368492277280092,0.7783132530120482,0.5927710843373494,415,0.3956752950721356
tfm_slide260,all,1,3540.931579442771,4274.391858057229,0.07462764781389869,0.16642789856266943,0.8024096385542169,0.5951807228915663,415,0.19039017369612365
tfm_slide260,all,2,4705.744642110108,5829.276364834337,0.10182589133733529,0.2271808682066548,0.8048192771084337,0.6144578313253012,415,0.25129587473385273
tfm_slide260,all,3,6063.661777945114,7560.465879141566,0.13216604969993828,0.2960424329485973,0.8,0.5855421686746988,415,0.3216221382484611
tfm_slide260,all,4,7259.609306496821,9135.023051581325,0.1599761800301015,0.35922151080017395,0.7783132530120482,0.5855421686746988,415,0.38316878177188896
naive,pre_covid,1,4340.866901709402,4954.985576923077,0.07506865993777669,0.1810492986952957,0.8557692307692307,0.6634615384615384,104,0.2632282074249496
naive,pre_covid,2,6152.172664509169,7111.4902912621355,0.10815177084242308,0.2584611782037899,0.8446601941747572,0.6796116504854369,103,0.3674320868625106
naive,pre_covid,3,7532.946448801743,8713.073529411764,0.133078561458056,0.3158342941380296,0.8431372549019608,0.6666666666666666,102,0.4448886534144131
naive,pre_covid,4,8543.711639163917,9954.801980198019,0.15328585001622144,0.35931893038427914,0.8613861386138614,0.6831683168316832,101,0.5064765766756978
snaive,pre_covid,1,16490.888055555555,20717.78846153846,0.3138771228568944,0.7438184342336809,0.9326923076923077,0.6442307692307693,104,1.0
snaive,pre_covid,2,16743.700086299894,20800.68932038835,0.3163375456628539,0.7484132516311693,0.9320388349514563,0.6504854368932039,103,1.0
snaive,pre_covid,3,16932.206274509805,20855.58823529412,0.31853646951856635,0.7518384420309436,0.9215686274509803,0.6372549019607843,102,1.0
snaive,pre_covid,4,16868.91760176018,20642.574257425742,0.31785810987166757,0.7456996468767164,0.9207920792079208,0.6534653465346535,101,1.0
tfm_expanding,pre_covid,1,3681.1891150841348,4330.429124098558,0.06560655046416201,0.15866850181763298,0.8557692307692307,0.625,104,0.22322564453064686
tfm_expanding,pre_covid,2,4839.359806499461,5964.225804004855,0.09070413598114027,0.2184206031290322,0.8543689320388349,0.6407766990291263,103,0.2890257100614902
tfm_expanding,pre_covid,3,5654.475809334151,6982.336626838235,0.10664426402221117,0.2569585757394331,0.8921568627450981,0.6666666666666666,102,0.333947963877959
tfm_expanding,pre_covid,4,6297.357753197194,7710.926632116337,0.11873424961820894,0.28460727787545864,0.8811881188118812,0.7128712871287128,101,0.3733113114821368
tfm_expanding_log1p,pre_covid,1,3839.553742468063,4714.262933506669,0.07142168135884598,0.17233695624795153,0.8173076923076923,0.6538461538461539,104,0.23282880397545175
tfm_expanding_log1p,pre_covid,2,5321.031014776101,6730.97741906152,0.10236491896309227,0.24563825997735084,0.8543689320388349,0.6310679611650486,103,0.317793019903044
tfm_expanding_log1p,pre_covid,3,6504.140924597821,8142.849961702631,0.12436928890984936,0.2975903680201685,0.8529411764705882,0.6470588235294118,102,0.3841283775516796
tfm_expanding_log1p,pre_covid,4,7563.0298947328365,9419.488096801777,0.14504298955499856,0.3444136490526132,0.8613861386138614,0.6336633663366337,101,0.4483411486901611
tfm_expanding_sym,pre_covid,1,3661.3004348624463,4373.318396935096,0.06625632838733893,0.1601728602271659,0.8461538461538461,0.6442307692307693,104,0.22201960394904288
tfm_expanding_sym,pre_covid,2,4780.189178802589,5909.836620145631,0.08987698354077532,0.21684140272154184,0.8349514563106796,0.6796116504854369,103,0.28549180612198477
tfm_expanding_sym,pre_covid,3,5675.021960954521,7157.390663296569,0.1093179404546048,0.262936279801048,0.8921568627450981,0.6666666666666666,102,0.335161400053214
