config,target,segment,h,wis,mae,wape,mase,cov80,cov60,n,rel_wis_vs_snaive
ets,nhi_out_ili,all,1,4148.42204190796,4962.525846777596,0.08664194661109365,0.19348626399306554,0.8843373493975903,0.7734939759036145,415,
ets,nhi_out_ili,all,2,5534.902972259713,6850.602438699564,0.11966643127892432,0.26735404923181433,0.8385542168674699,0.7060240963855422,415,
ets,nhi_out_ili,all,3,6955.0585054646,8620.29924909081,0.1506932135130589,0.33683772492343905,0.7831325301204819,0.6481927710843374,415,
ets,nhi_out_ili,all,4,8080.496542258215,10129.002078352132,0.17738313859331012,0.39616862542659737,0.7686746987951807,0.6024096385542169,415,
theta,nhi_out_ili,all,1,4732.613216350702,4848.673796660534,0.08465417595712085,0.18889086798261248,0.9180722891566265,0.8530120481927711,415,
theta,nhi_out_ili,all,2,6196.423380273984,6767.721266251143,0.11821866165342573,0.26394727837545434,0.8554216867469879,0.7855421686746988,415,
theta,nhi_out_ili,all,3,7710.019308685903,8572.281639214452,0.14985380785805827,0.33483233400100737,0.8578313253012049,0.7542168674698795,415,
theta,nhi_out_ili,all,4,9077.480785623897,10127.357686945143,0.17735434135281286,0.39602341532768137,0.8602409638554217,0.7662650602409639,415,
ets,nhi_out_ili,pre_covid,1,4465.396455134493,5099.342163747555,0.07725568053710488,0.18610262561124477,0.9134615384615384,0.8365384615384616,104,
ets,nhi_out_ili,pre_covid,2,5849.932166448208,7017.4195009952045,0.10672113926799551,0.2549958362614938,0.8932038834951457,0.7864077669902912,103,
ets,nhi_out_ili,pre_covid,3,7076.784587596714,8515.153284654049,0.13005563948145685,0.3085482265736992,0.8529411764705882,0.7647058823529411,102,
ets,nhi_out_ili,pre_covid,4,7925.041842597024,9773.478132527496,0.15049379245709807,0.35267839430558634,0.8415841584158416,0.7623762376237624,101,
theta,nhi_out_ili,pre_covid,1,5070.986343859531,5050.76084623818,0.07651966741520493,0.18429660478857113,0.9326923076923077,0.8653846153846154,104,
theta,nhi_out_ili,pre_covid,2,6497.624039759653,7004.3250274363845,0.10652199809706882,0.25446503680778554,0.8640776699029126,0.8058252427184466,103,
theta,nhi_out_ili,pre_covid,3,7797.861170933534,8510.668687145671,0.12998714427329422,0.3083052012005793,0.8823529411764706,0.8137254901960784,102,
theta,nhi_out_ili,pre_covid,4,8961.016186966786,9798.262837326683,0.1508754318458174,0.35352843274333506,0.8910891089108911,0.8217821782178217,101,
ets,nhi_out_ili,covid,1,1991.8302048595149,2448.8947505825454,0.08844149101498161,0.09867071234176701,0.89171974522293,0.7579617834394905,157,
ets,nhi_out_ili,covid,2,2936.0058995020636,3671.480505988109,0.1325950043809702,0.14842236762302663,0.8280254777070064,0.6878980891719745,157,
ets,nhi_out_ili,covid,3,3907.8535707502547,4884.547495674413,0.17640474885585658,0.19747837122078862,0.7707006369426752,0.6178343949044586,157,
ets,nhi_out_ili,covid,4,4848.531586653262,6073.706599026535,0.219351063363445,0.2457934025156454,0.7388535031847133,0.554140127388535,157,
theta,nhi_out_ili,covid,1,3151.937421943131,2383.0712747803796,0.08606428540320621,0.09594915525040194,0.9808917197452229,0.9490445859872612,157,
theta,nhi_out_ili,covid,2,4109.538520122885,3619.6216784624035,0.1307221300863231,0.14627465043807578,0.9617834394904459,0.9363057324840764,157,
theta,nhi_out_ili,covid,3,5202.714732291236,4854.7572107453125,0.1753288768869759,0.19618192858837374,0.9617834394904459,0.8980891719745223,157,
theta,nhi_out_ili,covid,4,6527.422820001706,6074.410114885627,0.21937647074018748,0.24571936052096022,0.9490445859872612,0.9171974522292994,157,
ets,nhi_out_ili,post_covid,1,6132.964765551119,7432.728347672059,0.09114992557928635,0.2951352250382814,0.8571428571428571,0.7467532467532467,154,
ets,nhi_out_ili,post_covid,2,7957.992220140591,9959.892671081803,0.12215670742881728,0.3960325650287349,0.8129032258064516,0.6709677419354839,155,
ets,nhi_out_ili,post_covid,3,9942.20667452022,12448.747413571089,0.15274200320561523,0.49558738750670583,0.75,0.6025641025641025,156,
ets,nhi_out_ili,post_covid,4,11412.467387454126,14413.01041454581,0.17690845824960807,0.5745216403325947,0.7515923566878981,0.5477707006369427,157,
theta,nhi_out_ili,post_covid,1,6115.569673890121,7225.833165356049,0.08861270376938074,0.2867457528601277,0.8441558441558441,0.7467532467532467,154,
theta,nhi_out_ili,post_covid,2,8110.083090704295,9799.214478385027,0.12018601159667844,0.3894393652634435,0.7419354838709677,0.6193548387096774,155,
theta,nhi_out_ili,post_covid,3,10175.96128653657,12353.921744218751,0.1515785236834587,0.49171618781784804,0.7371794871794872,0.5705128205128205,156,
theta,nhi_out_ili,post_covid,4,11702.461837006398,14392.01595844074,0.17665076768014948,0.5736650067014025,0.7515923566878981,0.5796178343949044,157,
