config,target,segment,h,wis,mae,mape,wape,mase,cov80,cov60,dir_hit,dir_hit3,hit_tol10,thr,thr_hit_rate,thr_false_alarm,thr_accuracy,n,rel_wis_vs_snaive
ets,nhi_out_ili,all,1,4148.42204190796,4962.525846777596,9.143350713305804,0.08664194661109365,0.19348626399306554,0.8843373493975903,0.7734939759036145,0.41445783132530123,0.5253012048192771,0.7614457831325301,79955.0,0.8666666666666667,0.035483870967741936,0.9397590361445783,415,0.22241868019922234
ets,nhi_out_ili,all,2,5534.902972259713,6850.602438699564,12.2568426158214,0.11966643127892432,0.26735404923181433,0.8385542168674699,0.7060240963855422,0.38795180722891565,0.3614457831325301,0.6216867469879518,79955.0,0.8095238095238095,0.054838709677419356,0.9108433734939759,415,0.2960620740686153
ets,nhi_out_ili,all,3,6955.0585054646,8620.29924909081,15.362275263521413,0.1506932135130589,0.33683772492343905,0.7831325301204819,0.6481927710843374,0.4072289156626506,0.29156626506024097,0.5012048192771085,79955.0,0.7596153846153846,0.07395498392282958,0.8843373493975903,415,0.371110823103656
ets,nhi_out_ili,all,4,8080.496542258215,10129.002078352132,18.167681563453975,0.17738313859331012,0.39616862542659737,0.7686746987951807,0.6024096385542169,0.42409638554216866,0.2457831325301205,0.43132530120481927,79955.0,0.7184466019417476,0.08974358974358974,0.8626506024096385,415,0.4308372981789117
ma3,nhi_out_ili,all,1,5130.160856760375,5860.853012048193,10.666961191000485,0.10232605923757208,0.2283998806890262,0.7783132530120482,0.6048192771084338,0.42168674698795183,0.46987951807228917,0.6602409638554216,79955.0,0.8476190476190476,0.04516129032258064,0.927710843373494,415,0.2750548510839463
ma3,nhi_out_ili,all,2,6224.958598839805,7173.668540829988,12.893048825592363,0.12530975503841532,0.2799864183138696,0.7975903614457831,0.6144578313253012,0.3927710843373494,0.3783132530120482,0.5783132530120482,79955.0,0.8095238095238095,0.054838709677419356,0.9108433734939759,415,0.33297316375743985
ma3,nhi_out_ili,all,3,7576.976253656603,8745.216421240517,15.653116189978943,0.15287691613755758,0.34166522714645414,0.7903614457831325,0.5903614457831325,0.41445783132530123,0.3036144578313253,0.4963855421686747,79955.0,0.7596153846153846,0.07395498392282958,0.8843373493975903,415,0.40429536170285924
ma3,nhi_out_ili,all,4,8886.95580775778,10355.943061133423,18.66138858497334,0.18135741991834117,0.40496737830431384,0.8048192771084337,0.6,0.42650602409638555,0.2746987951807229,0.41927710843373495,79955.0,0.6893203883495146,0.09294871794871795,0.8530120481927711,415,0.4738362313783907
naive,nhi_out_ili,all,1,4123.422779116466,4696.713253012048,8.747005612002303,0.08200105983917975,0.18280511337584646,0.7927710843373494,0.6168674698795181,0.4530120481927711,0.5156626506024097,0.7927710843373494,79955.0,0.8857142857142857,0.03870967741935484,0.9421686746987952,415,0.22107833850306252
naive,nhi_out_ili,all,2,5738.621499330656,6608.961445783132,11.85923220525215,0.11544544260942355,0.2573715844746141,0.8048192771084337,0.6096385542168675,0.46265060240963857,0.3397590361445783,0.6313253012048192,79955.0,0.8285714285714286,0.05806451612903226,0.9132530120481928,415,0.3069589822805767
naive,nhi_out_ili,all,3,7325.820621151272,8392.532530120481,14.933523305789187,0.14671157693395934,0.32744542432767626,0.7951807228915663,0.6096385542168675,0.4771084337349398,0.29397590361445786,0.5036144578313253,79955.0,0.7884615384615384,0.07395498392282958,0.891566265060241,415,0.39089409794167873
naive,nhi_out_ili,all,4,8663.404299866132,10064.106024096385,18.019170140257135,0.1762466529161269,0.393384650886354,0.7975903614457831,0.6096385542168675,0.4602409638554217,0.2216867469879518,0.43373493975903615,79955.0,0.7281553398058253,0.09615384615384616,0.8602409638554217,415,0.46191687380424057
snaive,nhi_out_ili,all,1,18651.410206157965,24486.84578313253,55.13003408316711,0.42752180049478233,0.9527112590528735,0.8120481927710843,0.5951807228915663,0.4963855421686747,0.2987951807228916,0.14457831325301204,79955.0,0.3333333333333333,0.11290322580645161,0.7469879518072289,415,1.0
