config,target,segment,h,wis,mae,wape,mase,cov80,cov60,n,rel_wis_vs_snaive
naive,rods_ili_pct,all,1,0.6057725174606927,0.6873260946009457,0.0685192453943936,0.23221525759120118,0.8192771084337349,0.6457831325301204,415,0.26560338744065093
naive,rods_ili_pct,all,2,0.976218511021871,1.1188735704759067,0.11166414221137001,0.37603209349896555,0.8240963855421687,0.6072289156626506,415,0.42581175545459365
naive,rods_ili_pct,all,3,1.2660471650869936,1.4496718465010785,0.14480649402702286,0.4862457236782249,0.8313253012048193,0.5879518072289157,415,0.5497799013853799
naive,rods_ili_pct,all,4,1.5042446456095886,1.718348537910161,0.17184252851948323,0.5761687257898077,0.8385542168674699,0.5927710843373494,415,0.6508095653916622
snaive,rods_ili_pct,all,1,2.2807409321767502,2.8370897012944374,0.2828282629975866,0.9473020959975141,0.8313253012048193,0.6072289156626506,415,1.0
snaive,rods_ili_pct,all,2,2.2926058252658312,2.843011499419414,0.28373397026859687,0.9527119989867477,0.8265060240963855,0.5975903614457831,415,1.0
snaive,rods_ili_pct,all,3,2.302825479608668,2.8491313159296925,0.28459731619825585,0.9570968952600981,0.8265060240963855,0.5927710843373494,415,1.0
snaive,rods_ili_pct,all,4,2.3113437871865368,2.854253626237546,0.28543811069032804,0.9606156300750972,0.8265060240963855,0.5927710843373494,415,1.0
tfm_expanding,rods_ili_pct,all,1,0.5378855698737857,0.6602660893206523,0.06582164500247119,0.22301183980211867,0.7518072289156627,0.5518072289156627,415,0.23583808326727623
tfm_expanding,rods_ili_pct,all,2,0.8198655487662955,0.9966552139323536,0.09946668907096344,0.33528702571953267,0.7662650602409639,0.5325301204819277,415,0.35761295715596064
tfm_expanding,rods_ili_pct,all,3,1.0126000846616083,1.2422895333664585,0.1240912502560139,0.4173506724082654,0.7662650602409639,0.5373493975903615,415,0.4397207229241207
tfm_expanding,rods_ili_pct,all,4,1.1508770270844564,1.4003134322686368,0.14003759750248032,0.4703810631750238,0.7831325301204819,0.5710843373493976,415,0.49792550699926447
