config,target,segment,h,wis,mae,mape,wape,mase,cov80,cov60,dir_hit,dir_hit3,hit_tol10,thr,thr_hit_rate,thr_false_alarm,thr_accuracy,n,rel_wis_vs_snaive
ets,rods_ili_pct,all,1,0.6198724611343294,0.6855427990230892,6.031676672850776,0.06834146941837622,0.23158305524657596,0.8963855421686747,0.8385542168674699,0.4843373493975904,0.6385542168674698,0.8530120481927711,10.0,0.9436619718309859,0.06435643564356436,0.9397590361445783,415,
ets,rods_ili_pct,all,2,0.9607410876097686,1.1136930329670323,9.865499612800708,0.11114712197567328,0.3741319765268068,0.891566265060241,0.8,0.4795180722891566,0.4457831325301205,0.7228915662650602,10.0,0.8962264150943396,0.11822660098522167,0.8891566265060241,415,
ets,rods_ili_pct,all,3,1.230900653055544,1.4468416462252998,13.131201197085211,0.14452378771640575,0.48527381152769966,0.8698795180722891,0.7855421686746988,0.472289156626506,0.344578313253012,0.6144578313253012,10.0,0.8530805687203792,0.16666666666666666,0.8433734939759037,415,
ets,rods_ili_pct,all,4,1.4625156454274313,1.7158837993778413,16.071775132449435,0.1715960436578914,0.5753686037590708,0.8698795180722891,0.7686746987951807,0.43855421686746987,0.28674698795180725,0.5542168674698795,10.0,0.8095238095238095,0.2146341463414634,0.7975903614457831,415,
theta,rods_ili_pct,all,1,0.710000251521317,0.7045852870842574,6.206160775519578,0.07023980693623307,0.23822005388264833,0.927710843373494,0.8819277108433735,0.40481927710843374,0.6265060240963856,0.8506024096385543,10.0,0.9483568075117371,0.0594059405940594,0.944578313253012,415,
theta,rods_ili_pct,all,2,1.0654071271180112,1.1348914591082917,10.061236865947015,0.113262735512141,0.38144750487520107,0.8987951807228916,0.8289156626506025,0.46265060240963857,0.4433734939759036,0.708433734939759,10.0,0.8962264150943396,0.12315270935960591,0.8867469879518072,415,
theta,rods_ili_pct,all,3,1.352518366471011,1.4750263985673688,13.387561692003336,0.1473391387777688,0.49505618343667446,0.8987951807228916,0.8096385542168675,0.42650602409638555,0.3566265060240964,0.6120481927710844,10.0,0.8436018957345972,0.16666666666666666,0.8385542168674699,415,
theta,rods_ili_pct,all,4,1.6245891692101595,1.748717079745372,16.36474665151488,0.1748795183392314,0.5865836465600988,0.908433734939759,0.8265060240963855,0.42168674698795183,0.3108433734939759,0.5373493975903615,10.0,0.8047619047619048,0.2146341463414634,0.7951807228915663,415,
ets,rods_ili_pct,pre_covid,1,0.4796718079594332,0.5308128513530941,4.4113892779912725,0.04929527239846831,0.1771042627450431,0.9519230769230769,0.8653846153846154,0.5096153846153846,0.6923076923076923,0.9326923076923077,10.0,0.9682539682539683,0.04878048780487805,0.9615384615384616,104,
ets,rods_ili_pct,pre_covid,2,0.6663512540868787,0.7572283490005038,6.389863296259229,0.07051856306922641,0.25200458424534083,0.9223300970873787,0.8543689320388349,0.5631067961165048,0.5728155339805825,0.8349514563106796,10.0,0.9354838709677419,0.0975609756097561,0.9223300970873787,103,
ets,rods_ili_pct,pre_covid,3,0.7850239910331899,0.91384251310296,7.847139802026605,0.08529111480814203,0.30467934616331666,0.9117647058823529,0.8333333333333334,0.5392156862745098,0.4803921568627451,0.7745098039215687,10.0,0.9016393442622951,0.14634146341463414,0.8823529411764706,102,
ets,rods_ili_pct,pre_covid,4,0.888459637184609,1.0265608161085495,9.06493342677035,0.0961317411061695,0.3434031422058344,0.9108910891089109,0.801980198019802,0.45544554455445546,0.4158415841584158,0.6831683168316832,10.0,0.8666666666666667,0.1951219512195122,0.8415841584158416,101,
theta,rods_ili_pct,pre_covid,1,0.5551929461521256,0.5379467201654126,4.475630509682028,0.049957777093789346,0.1797605037006566,0.9615384615384616,0.9230769230769231,0.3942307692307692,0.6923076923076923,0.9230769230769231,10.0,0.9682539682539683,0.04878048780487805,0.9615384615384616,104,
theta,rods_ili_pct,pre_covid,2,0.7501715157884581,0.7660770335750017,6.458895699268355,0.07134261637107393,0.2552639438178292,0.941747572815534,0.8737864077669902,0.4368932038834951,0.5728155339805825,0.8252427184466019,10.0,0.9354838709677419,0.0975609756097561,0.9223300970873787,103,
theta,rods_ili_pct,pre_covid,3,0.8823989259402711,0.9253600745278,7.94121034551096,0.08636607645603066,0.3087542089359218,0.9411764705882353,0.8431372549019608,0.45098039215686275,0.4803921568627451,0.7549019607843137,10.0,0.8852459016393442,0.14634146341463414,0.8725490196078431,102,
theta,rods_ili_pct,pre_covid,4,1.0266966061506644,1.038177899169407,9.158698756523318,0.09721961666472495,0.3473130936923244,0.9504950495049505,0.8613861386138614,0.43564356435643564,0.4158415841584158,0.6831683168316832,10.0,0.85,0.1951219512195122,0.8316831683168316,101,
ets,rods_ili_pct,covid,1,0.8427316144092306,0.9667778229315773,8.788188044102213,0.11423811819791571,0.33755905135175507,0.8152866242038217,0.7579617834394905,0.4267515923566879,0.5159235668789809,0.7452229299363057,10.0,0.8918918918918919,0.041666666666666664,0.9426751592356688,157,
ets,rods_ili_pct,covid,2,1.397054392259247,1.643632866152681,14.968803858436065,0.19421786597065727,0.5673125809025177,0.8089171974522293,0.6751592356687898,0.4012738853503185,0.3630573248407643,0.5987261146496815,10.0,0.8108108108108109,0.075,0.8980891719745223,157,
ets,rods_ili_pct,covid,3,1.8701150291506725,2.208048527041824,20.693279054676175,0.260911351745798,0.7584511371045153,0.7388535031847133,0.6624203821656051,0.4394904458598726,0.25477707006369427,0.47770700636942676,10.0,0.7297297297297297,0.10833333333333334,0.8535031847133758,157,
ets,rods_ili_pct,covid,4,2.2902372834091427,2.683544754415547,26.135552074162963,0.31709778148894985,0.9199143067700167,0.732484076433121,0.6305732484076433,0.40764331210191085,0.21656050955414013,0.4267515923566879,10.0,0.6486486486486487,0.14166666666666666,0.8089171974522293,157,
theta,rods_ili_pct,covid,1,0.9701387317819461,0.9816006296982057,8.952587643127112,0.11598963701771678,0.3430706193651458,0.8789808917197452,0.8343949044585988,0.39490445859872614,0.5159235668789809,0.7515923566878981,10.0,0.8918918918918919,0.05,0.9363057324840764,157,
theta,rods_ili_pct,covid,2,1.549344524181247,1.6579535584931513,15.158434031292837,0.19591005305383413,0.5725823607097946,0.8280254777070064,0.7707006369426752,0.40764331210191085,0.3630573248407643,0.5987261146496815,10.0,0.8108108108108109,0.08333333333333333,0.89171974522293,157,
theta,rods_ili_pct,covid,3,2.043761030748685,2.227659372387094,20.929746066780794,0.26322864328411716,0.7659285304110942,0.8089171974522293,0.7388535031847133,0.3630573248407643,0.25477707006369427,0.49044585987261147,10.0,0.7297297297297297,0.11666666666666667,0.8471337579617835,157,
theta,rods_ili_pct,covid,4,2.494385677667684,2.701891484532364,26.35228284746627,0.3192657003984618,0.9268542801596266,0.8152866242038217,0.732484076433121,0.35668789808917195,0.21656050955414013,0.42038216560509556,10.0,0.6486486486486487,0.15,0.802547770700637,157,
ets,rods_ili_pct,post_covid,1,0.4873528563682888,0.5033221224259907,4.315687086999558,0.04521252335135819,0.1603334645429804,0.9415584415584416,0.9025974025974026,0.525974025974026,0.7272727272727273,0.9090909090909091,10.0,0.9469026548672567,0.14634146341463414,0.922077922077922,154,
ets,rods_ili_pct,post_covid,2,0.7144247264671206,0.8137917983761008,7.005962671116975,0.0731819777981209,0.2596143411590931,0.9548387096774194,0.8903225806451613,0.5032258064516129,0.44516129032258067,0.7741935483870968,10.0,0.9026548672566371,0.2619047619047619,0.8580645161290322,155,
ets,rods_ili_pct,post_covid,3,0.8791234894616016,1.0292546673168657,8.975611701278781,0.09264684713491715,0.3284263458328728,0.9743589743589743,0.8782051282051282,0.46153846153846156,0.34615384615384615,0.6474358974358975,10.0,0.8672566371681416,0.3488372093023256,0.8076923076923077,156,
ets,rods_ili_pct,post_covid,4,1.0040911847229494,1.1916726616025464,10.515584256172772,0.10736388285386646,0.38004908939065285,0.9808917197452229,0.8853503184713376,0.4585987261146497,0.27388535031847133,0.5987261146496815,10.0,0.831858407079646,0.4318181818181818,0.7579617834394905,157,
theta,rods_ili_pct,post_covid,1,0.5493393317646748,0.5347086777931531,4.574901875732063,0.04803192131585991,0.17080612166300574,0.9545454545454546,0.9025974025974026,0.42207792207792205,0.6948051948051948,0.9025974025974026,10.0,0.9557522123893806,0.0975609756097561,0.9415584415584416,154,
theta,rods_ili_pct,post_covid,2,0.7847045247181141,0.8501633057309101,7.292083222131585,0.07645276382599102,0.27169740437764067,0.9419354838709677,0.8580645161290322,0.535483870967742,0.43870967741935485,0.7419354838709677,10.0,0.9026548672566371,0.2619047619047619,0.8580645161290322,155,
theta,rods_ili_pct,post_covid,3,0.9642304475129381,1.0769660662746714,9.358105861888985,0.09694151863479002,0.34426030474496205,0.9615384615384616,0.8589743589743589,0.47435897435897434,0.3782051282051282,0.6410256410256411,10.0,0.8584070796460177,0.32558139534883723,0.8076923076923077,156,
theta,rods_ili_pct,post_covid,4,1.139424182211291,1.2526411287047012,11.012948273360609,0.1128568437739675,0.40023865525130464,0.9745222929936306,0.8980891719745223,0.47770700636942676,0.3375796178343949,0.5605095541401274,10.0,0.831858407079646,0.4090909090909091,0.7643312101910829,157,
