config,target,segment,h,wis,mae,mape,wape,mase,cov80,cov60,dir_hit,dir_hit3,hit_tol10,thr,thr_hit_rate,thr_false_alarm,thr_accuracy,n,rel_wis_vs_snaive
ets,rods_ili_pct,all,1,0.6198724611343294,0.6855427990230892,6.031676672850776,0.06834146941837622,0.23158305524657596,0.8963855421686747,0.8385542168674699,0.4843373493975904,0.6385542168674698,0.8530120481927711,10.0,0.9436619718309859,0.06435643564356436,0.9397590361445783,415,0.2754523480184652
ets,rods_ili_pct,all,2,0.9607410876097686,1.1136930329670323,9.865499612800708,0.11114712197567328,0.3741319765268068,0.891566265060241,0.8,0.4795180722891566,0.4457831325301205,0.7228915662650602,10.0,0.8962264150943396,0.11822660098522167,0.8891566265060241,415,0.4257975621455868
ets,rods_ili_pct,all,3,1.230900653055544,1.4468416462252998,13.131201197085211,0.14452378771640575,0.48527381152769966,0.8698795180722891,0.7855421686746988,0.472289156626506,0.344578313253012,0.6144578313253012,10.0,0.8530805687203792,0.16666666666666666,0.8433734939759037,415,0.5444616511134578
ets,rods_ili_pct,all,4,1.4625156454274313,1.7158837993778413,16.071775132449435,0.1715960436578914,0.5753686037590708,0.8698795180722891,0.7686746987951807,0.43855421686746987,0.28674698795180725,0.5542168674698795,10.0,0.8095238095238095,0.2146341463414634,0.7975903614457831,415,0.646053235210658
ma3,rods_ili_pct,all,1,0.8964738602289158,1.0320665789656893,9.218072316644843,0.10288627733326432,0.34580711491607935,0.8192771084337349,0.5903614457831325,0.38313253012048193,0.5421686746987951,0.7349397590361446,10.0,0.8967136150234741,0.11386138613861387,0.891566265060241,415,0.39836554326894036
ma3,rods_ili_pct,all,2,1.1169212953072338,1.2825767806763748,11.61061817424685,0.1280018045055179,0.4301219445160716,0.8168674698795181,0.5807228915662651,0.4072289156626506,0.4433734939759036,0.6409638554216868,10.0,0.8726415094339622,0.1477832512315271,0.8626506024096385,415,0.49501616073641064
ma3,rods_ili_pct,all,3,1.3454594932327637,1.5406709730103951,14.282424290498017,0.15389631977009727,0.5166396955768636,0.8240963855421687,0.5783132530120482,0.40481927710843374,0.37349397590361444,0.5759036144578313,10.0,0.8293838862559242,0.19117647058823528,0.8192771084337349,415,0.5951342176749423
ma3,rods_ili_pct,all,4,1.6043238085895206,1.8347335788624044,17.493925406186673,0.1834815524298482,0.6144988960352059,0.8289156626506025,0.6072289156626506,0.41204819277108434,0.3349397590361446,0.5108433734939759,10.0,0.7857142857142857,0.23902439024390243,0.7734939759036145,415,0.7086957258237232
naive,rods_ili_pct,all,1,0.6055440904288343,0.6853416894106201,6.03028070677448,0.06832142088683321,0.2315265178242472,0.8216867469879519,0.6337349397590362,0.472289156626506,0.6385542168674698,0.8530120481927711,10.0,0.9436619718309859,0.06435643564356436,0.9397590361445783,415,0.2690852586548157
naive,rods_ili_pct,all,2,0.973006410258809,1.1132349506072645,9.862393531036632,0.11110140512694668,0.37399290866115154,0.8240963855421687,0.6,0.4939759036144578,0.4457831325301205,0.7228915662650602,10.0,0.8962264150943396,0.11822660098522167,0.8891566265060241,415,0.43123351627541756
