target,label,mode,origin_yw,target_yw,target_week_start,h,median,q10,q20,q30,q40,q50,q60,q70,q80,q90
nhi_out_ili,全國類流感門診就診人次,uni,202636,202637,2026-09-13,1,129811.96875,115289.5625,120934.375,124580.96875,127098.765625,129811.96875,132725.96875,135386.3125,138758.75,144934.90625
nhi_out_ili,全國類流感門診就診人次,uni,202636,202638,2026-09-20,2,142339.8125,118093.5625,126627.3984375,132506.84375,137571.6875,142339.8125,147195.40625,152097.21875,158163.71875,167632.9375
nhi_out_ili,全國類流感門診就診人次,uni,202636,202639,2026-09-27,3,142419.984375,110752.171875,121134.7578125,128613.3359375,135283.71875,142419.984375,149978.015625,156812.453125,164770.25,179223.375
nhi_out_ili,全國類流感門診就診人次,uni,202636,202640,2026-10-04,4,134225.15625,100188.046875,111505.2734375,119669.1171875,126707.1171875,134225.15625,142215.53125,150023.6875,160703.3125,178050.96875
rods_ili_pct,RODS 急診類流感就診百分比 (%),uni,202636,202637,2026-09-13,1,12.355323791503906,11.322543144226074,11.741978645324707,11.996698379516602,12.170463562011719,12.355323791503906,12.55500602722168,12.740459442138672,12.990419387817383,13.504769325256348
rods_ili_pct,RODS 急診類流感就診百分比 (%),uni,202636,202638,2026-09-20,2,12.943378448486328,11.037982940673828,11.686294555664062,12.149237632751465,12.568256378173828,12.943378448486328,13.340075492858887,13.792024612426758,14.359962463378906,15.16812515258789
rods_ili_pct,RODS 急診類流感就診百分比 (%),uni,202636,202639,2026-09-27,3,12.735219955444336,10.525533676147461,11.268299102783203,11.79226016998291,12.264973640441895,12.735219955444336,13.245271682739258,13.792198181152344,14.472023010253906,15.49256706237793
rods_ili_pct,RODS 急診類流感就診百分比 (%),uni,202636,202640,2026-10-04,4,12.423583984375,10.152496337890625,10.951419830322266,11.500262260437012,11.970678329467773,12.423583984375,12.924322128295898,13.518288612365723,14.297792434692383,15.449090003967285
nhi_er_ili,全國類流感急診就診人次,uni,202636,202637,2026-09-13,1,11677.798828125,10474.5693359375,10939.09765625,11248.642578125,11449.75390625,11677.798828125,11929.884765625,12164.41796875,12477.30078125,13139.34765625
nhi_er_ili,全國類流感急診就診人次,uni,202636,202638,2026-09-20,2,12571.75,10168.564453125,10936.232421875,11524.3056640625,12064.51953125,12571.75,13105.2685546875,13709.70703125,14472.3232421875,15533.2587890625
nhi_er_ili,全國類流感急診就診人次,uni,202636,202639,2026-09-27,3,12538.173828125,9645.845703125,10537.34375,11209.677734375,11844.943359375,12538.173828125,13284.19921875,14042.298828125,14958.3798828125,16272.982421875
nhi_er_ili,全國類流感急診就診人次,uni,202636,202640,2026-10-04,4,11966.736328125,9038.8056640625,10000.376953125,10693.4931640625,11309.814453125,11966.736328125,12689.36328125,13490.095703125,14496.8037109375,15969.587890625
nidds_severe,流感併發重症週病例數（發病週）,uni,202633,202634,2026-08-23,1,65.40638732910156,48.05979537963867,53.09851837158203,57.9462890625,61.80506896972656,65.40638732910156,68.9581527709961,72.61536407470703,77.88169860839844,87.8380126953125
nidds_severe,流感併發重症週病例數（發病週）,uni,202633,202635,2026-08-30,2,61.18260192871094,34.49858093261719,41.76647186279297,49.24052429199219,55.97044372558594,61.18260192871094,66.12398529052734,71.11359405517578,78.37318420410156,90.9107666015625
nidds_severe,流感併發重症週病例數（發病週）,uni,202633,202636,2026-09-06,3,57.22154235839844,27.016756057739258,34.68548583984375,43.27832794189453,51.06407165527344,57.22154235839844,63.370628356933594,69.20787048339844,77.38928985595703,92.73960876464844
nidds_severe,流感併發重症週病例數（發病週）,uni,202633,202637,2026-09-13,4,54.34960174560547,22.110855102539062,29.77086639404297,38.401485443115234,46.85243606567383,54.34960174560547,61.88426208496094,68.36288452148438,78.0870361328125,95.41755676269531
