target,label,mode,origin_yw,target_yw,target_week_start,h,median,q10,q20,q30,q40,q50,q60,q70,q80,q90
nhi_out_ili,全國類流感門診就診人次,joint,202606,202607,2026-02-15,1,75372.6953125,64273.7421875,68250.5703125,71063.515625,73159.359375,75372.6953125,77705.0234375,80184.1875,83207.1640625,88797.984375
nhi_out_ili,全國類流感門診就診人次,joint,202606,202608,2026-02-22,2,91722.609375,74505.265625,80411.0625,84726.671875,88296.3125,91722.609375,95262.75,99221.703125,104188.640625,111961.7890625
nhi_out_ili,全國類流感門診就診人次,joint,202606,202609,2026-03-01,3,87262.40625,68193.6328125,74967.3671875,79697.34375,83525.671875,87262.40625,91145.875,95520.9765625,101004.9921875,110039.0859375
nhi_out_ili,全國類流感門診就診人次,joint,202606,202610,2026-03-08,4,85523.796875,63879.984375,71417.6171875,76759.1640625,81264.78125,85523.796875,90116.796875,95035.296875,101140.984375,111265.703125
nhi_er_ili,全國類流感急診就診人次,joint,202606,202607,2026-02-15,1,10128.67578125,5981.53173828125,7108.53515625,8286.7578125,9377.0595703125,10128.67578125,10862.322265625,12159.640625,13853.013671875,15423.298828125
nhi_er_ili,全國類流感急診就診人次,joint,202606,202608,2026-02-22,2,7734.89697265625,6213.41552734375,6763.11474609375,7147.8427734375,7449.7470703125,7734.89697265625,8035.59814453125,8468.908203125,9014.8251953125,9864.19140625
nhi_er_ili,全國類流感急診就診人次,joint,202606,202609,2026-03-01,3,7380.66552734375,5919.26123046875,6416.4619140625,6781.060546875,7081.197265625,7380.66552734375,7689.421875,8060.0263671875,8525.7509765625,9297.7978515625
nhi_er_ili,全國類流感急診就診人次,joint,202606,202610,2026-03-08,4,7051.2099609375,5576.9091796875,6091.451171875,6453.85986328125,6750.712890625,7051.2099609375,7363.1650390625,7728.064453125,8180.2373046875,8957.4736328125
rods_ili,RODS 急診類流感就診人次,joint,202606,202607,2026-02-15,1,22731.02734375,15477.078125,17473.5546875,19544.783203125,21445.14453125,22731.02734375,23911.94921875,25810.39453125,28273.095703125,30774.6328125
rods_ili,RODS 急診類流感就診人次,joint,202606,202608,2026-02-22,2,12934.5751953125,10675.55859375,11529.47265625,12099.6162109375,12556.322265625,12934.5751953125,13345.236328125,13960.80859375,14769.3466796875,16217.87890625
rods_ili,RODS 急診類流感就診人次,joint,202606,202609,2026-03-01,3,12128.33203125,10114.44921875,10842.259765625,11327.509765625,11747.5,12128.33203125,12537.5419921875,13040.8056640625,13721.333984375,15065.7958984375
rods_ili,RODS 急診類流感就診人次,joint,202606,202610,2026-03-08,4,11850.1904296875,9914.05078125,10597.2568359375,11069.708984375,11463.8076171875,11850.1904296875,12261.509765625,12756.59375,13409.0693359375,14766.130859375
